@relation vowel_insig_0.95_clustered

@attribute Instance_number numeric
@attribute attr_1 numeric
@attribute attr_2 numeric
@attribute attr_3 numeric
@attribute attr_4 numeric
@attribute attr_5 numeric
@attribute attr_6 numeric
@attribute attr_7 numeric
@attribute attr_8 numeric
@attribute attr_9 numeric
@attribute attr_10 numeric
@attribute attr_11 numeric
@attribute attr_12 numeric
@attribute Classes {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
13,0.084863,-0.595531,-0.040021,0.283597,-0.721047,-0.223748,0.678005,-0.677124,0.065877,-0.407779,-1.350276,-0.772367,class2,cluster9
14,0.057069,-0.289912,0.004219,0.486752,-0.03359,0.43671,-0.736793,-0.968053,-0.107636,0.204123,-0.807782,-0.035937,class3,cluster9
15,0.0334,-0.04467,-0.062963,0.689021,0.454622,-0.109831,-0.625389,-0.886592,-0.229631,0.527335,-0.616713,0.514646,class4,cluster6
16,0.022805,-0.199085,-0.184013,0.714051,0.553894,-0.413,-0.621659,-0.741933,-0.129939,0.4801,-0.26376,0.535376,class5,cluster6
17,0.0748,-0.099936,-0.235668,0.263143,0.776501,-0.280476,-0.240965,-0.652285,-0.546072,0.826159,0.455778,1.139219,class6,cluster6
18,0.084352,-0.118078,0.083464,0.19868,0.424067,0.248219,0.228678,-0.45058,-1.084859,1.311238,1.190237,0.962713,class7,cluster9
19,0.115952,-0.207398,0.348973,-0.002682,-0.30598,-0.321358,-0.421204,-0.467613,-1.128944,-0.321207,-0.209704,0.60317,class8,cluster6
20,0.137264,0.157408,0.212856,0.002441,-0.536183,0.54986,-0.24458,-0.842717,-1.549144,-0.661398,0.008535,-0.10619,class9,cluster6
21,0.079396,-0.383483,0.252213,0.319419,-0.300628,0.339095,0.089949,-0.398525,-0.822899,0.082006,-0.628939,0.083946,class10,cluster9
22,0.076335,-0.218224,-0.112368,0.367559,0.060384,0.245247,0.180963,-0.171389,-1.529722,-0.693616,0.401417,-1.390993,class0,cluster9
23,0.105388,-0.106962,0.066558,0.159119,-0.166488,-0.217545,0.322079,-0.285841,-1.121106,-0.561755,-0.262287,-1.292784,class1,cluster9
24,0.090638,-0.518306,-0.016853,0.273843,-0.764437,-0.036706,0.550135,-0.708301,0.00995,-0.45313,-1.369879,-0.766866,class2,cluster9
25,0.048877,-0.352958,0.089737,0.547245,-0.133984,0.543428,-0.521746,-0.932538,-0.275158,0.23415,-0.858831,-0.090575,class3,cluster9
26,0.035435,-0.15883,-0.016265,0.673823,0.209886,0.05217,-0.451231,-0.884241,-0.361873,0.36473,-0.632006,0.484462,class4,cluster6
27,0.0393,-0.159758,-0.312953,0.600102,0.593959,-0.465643,-0.755523,-0.7728,-0.004364,0.288955,-0.288557,0.689912,class5,cluster6
28,0.132277,-0.08584,-0.512137,-0.18736,0.86683,-0.288344,-0.392714,-0.5494,-0.140282,0.631265,0.587653,1.116709,class6,cluster6
29,0.081293,-0.167202,0.041586,0.19946,0.479046,0.117457,0.249036,-0.465523,-1.029795,1.287622,1.132162,1.102099,class7,cluster9
30,0.120588,-0.242057,0.380703,-0.041712,-0.445086,-0.338048,0.133014,-0.501845,-1.202216,-0.212359,-0.253191,0.417167,class8,cluster9
31,0.136449,0.144293,0.170779,0.009814,-0.638502,0.41377,-0.117635,-0.938108,-1.503451,-0.726117,0.104947,-0.102272,class9,cluster6
32,0.075173,-0.364511,0.217185,0.373686,-0.352019,0.285681,0.277701,-0.439819,-0.771464,0.085041,-0.669122,0.023089,class10,cluster9
33,0.084211,-0.196075,-0.078266,0.293391,0.102889,0.203118,0.094879,-0.171261,-1.507714,-0.668577,0.322721,-1.402697,class0,cluster9
34,0.115642,-0.11693,0.178332,0.052121,-0.230169,-0.370102,0.349436,-0.306924,-1.049314,-0.463396,-0.418143,-1.312683,class1,cluster9
35,0.101821,-0.444021,-0.07329,0.194816,-0.681971,0.108028,0.507859,-0.799389,-0.016126,-0.447961,-1.35414,-0.807125,class2,cluster9
36,0.048641,-0.319609,0.083871,0.583134,-0.275141,0.557393,-0.477684,-1.029143,-0.285981,0.089896,-0.937068,-0.065522,class3,cluster9
37,0.040344,-0.19263,-0.001379,0.66323,-0.033299,0.128585,-0.344195,-0.862971,-0.43175,0.166726,-0.542187,0.343483,class4,cluster6
38,0.07582,-0.132749,-0.545332,0.338233,0.544444,-0.477436,-0.779923,-0.822081,0.233861,0.026599,-0.160189,0.812804,class5,cluster6
39,0.114247,-0.119103,-0.337436,-0.0719,0.835847,-0.32119,-0.379221,-0.557501,-0.306816,0.722329,0.458177,0.967073,class6,cluster6
40,0.128495,0.010642,-0.316508,-0.145679,0.680903,-0.13849,-0.528145,-0.513657,-0.399806,1.005797,1.529435,1.092857,class7,cluster6
41,0.133576,-0.254543,0.449733,-0.157191,-0.433333,-0.249251,0.178892,-0.374509,-1.200753,-0.084064,-0.27282,0.197268,class8,cluster9
42,0.151354,0.175926,0.224514,-0.157848,-0.416363,0.437405,-0.695769,-0.950199,-1.436856,-0.704842,-0.011447,-0.10432,class9,cluster6
43,0.082978,-0.326937,0.184611,0.32943,-0.430355,0.203912,0.420215,-0.563314,-0.626813,0.070789,-0.839819,0.001471,class10,cluster9
44,0.087834,-0.176404,-0.066371,0.256742,0.187562,0.172242,-0.059343,-0.144434,-1.497124,-0.700699,0.216687,-1.391591,class0,cluster9
45,0.122295,-0.161274,0.158618,-0.018872,-0.263069,-0.445611,0.398402,-0.359348,-0.965488,-0.49231,-0.501291,-1.247477,class1,cluster9
46,0.104757,-0.533004,-0.074818,0.125239,-0.664481,0.054671,0.565953,-0.758319,-0.097962,-0.466763,-1.190817,-0.895545,class2,cluster9
47,0.054055,-0.341746,0.017727,0.540526,-0.312071,0.655944,-0.295439,-1.121474,-0.321775,0.028385,-0.946837,-0.104718,class3,cluster9
48,0.052562,-0.209046,-0.077765,0.560421,-0.077806,0.008811,-0.516789,-0.840259,-0.381927,-0.081533,-0.339786,0.221102,class4,cluster6
49,0.089719,-0.119651,-0.602204,0.258035,0.392187,-0.503386,-0.731497,-0.863109,0.289703,-0.168059,-0.154441,0.90424,class5,cluster6
50,0.100472,-0.185365,-0.181965,0.010225,0.760576,-0.392562,-0.309847,-0.577153,-0.419817,0.737111,0.186697,0.927228,class6,cluster6
51,0.080532,-0.251423,-0.018812,0.156356,0.644294,-0.158304,0.064708,-0.379759,-1.023317,1.10048,1.05817,1.402437,class7,cluster6
52,0.14932,-0.299024,0.414374,-0.318439,-0.434984,-0.312701,0.305052,-0.446554,-1.082103,-0.039673,-0.295077,0.021359,class8,cluster9
53,0.155242,0.117629,0.274694,-0.220119,-0.341551,0.580725,-0.740923,-0.907325,-1.551406,-0.695957,-0.164097,-0.07692,class9,cluster6
54,0.086084,-0.383833,0.215965,0.259446,-0.318638,0.209852,0.329707,-0.515493,-0.517149,0.268178,-0.865853,-0.026934,class10,cluster9
55,0.088686,-0.186362,-0.092368,0.238281,0.256917,0.244425,-0.094609,-0.157903,-1.552604,-0.741445,0.199565,-1.456732,class0,cluster9
56,0.10897,-0.211928,0.069707,0.0895,-0.282527,-0.484504,0.440743,-0.398914,-0.98481,-0.632508,-0.414749,-1.145619,class1,cluster9
57,0.109653,-0.502294,-0.062995,0.099975,-0.687167,0.015896,0.627764,-0.692607,-0.131969,-0.473105,-1.129297,-0.934477,class2,cluster9
58,0.062481,-0.321398,-0.045268,0.480082,-0.244206,0.698524,-0.270091,-1.025443,-0.319192,0.043784,-0.773871,-0.204825,class3,cluster9
59,0.050664,-0.290231,-0.090817,0.572038,-0.208413,0.057048,-0.3772,-0.814864,-0.577804,-0.304996,-0.211373,0.157904,class4,cluster9
60,0.059046,-0.172455,-0.346764,0.475419,0.24665,-0.54215,-0.685936,-0.927927,0.052406,-0.024777,-0.24404,0.89309,class5,cluster6
61,0.098073,-0.244718,-0.11365,0.029685,0.587639,-0.474085,-0.35638,-0.616487,-0.460082,0.498127,-0.048066,1.015656,class6,cluster6
62,0.087968,-0.282236,-0.081708,0.083677,0.738898,-0.273119,0.071378,-0.29089,-0.956074,1.031271,0.97097,1.486149,class7,cluster6
63,0.155123,-0.2569,0.228384,-0.324795,-0.471028,-0.299107,0.748137,-0.544264,-1.133615,-0.243187,-0.27904,-0.203752,class8,cluster9
64,0.13936,-0.038427,0.253464,-0.0918,-0.501389,0.745941,-0.282178,-0.840678,-1.784664,-0.786476,-0.101786,0.020772,class9,cluster9
65,0.078739,-0.422663,0.218753,0.307265,-0.263269,0.317449,0.234804,-0.444294,-0.602845,0.255606,-0.785014,-0.061725,class10,cluster9
66,0.045961,0.255725,-0.546484,0.111453,-0.022533,-0.659383,-0.324752,1.357185,-0.76422,-1.754521,0.762711,-1.142784,class0,cluster1
67,0.099462,0.180388,0.330981,-0.566815,-0.021342,-0.886054,-0.235045,0.563544,0.78888,0.429713,-1.700276,-1.417914,class1,cluster7
68,0.064639,-0.131015,-0.106793,-0.201371,-0.441883,-0.215308,-0.270594,0.527282,0.821207,-0.356014,-1.216891,-1.091355,class2,cluster9
69,0.068762,-0.153418,-0.325683,-0.297564,-0.288267,0.731057,-0.689987,-0.416794,0.730821,-0.184558,-1.085868,-0.199664,class3,cluster9
70,-0.016759,0.017284,-0.047174,0.453616,-0.155093,-0.074009,-0.490449,0.242976,0.501203,0.703625,-0.060164,1.001441,class4,cluster8
71,0.024665,0.112077,0.000089,0.182614,-0.423327,-0.407775,-1.1008,0.684937,1.193704,0.576749,0.303885,-0.1299,class5,cluster8
72,0.128487,0.086835,-0.134042,-0.645747,-0.695544,0.374682,-0.84305,-0.017628,0.596637,-0.072439,-0.340155,1.998039,class6,cluster6
73,0.067449,0.109916,-0.604117,-0.14447,-0.300327,-0.752346,0.385388,0.328088,0.558279,0.196506,0.821015,2.392528,class7,cluster6
74,0.050412,0.272495,-0.160088,-0.136713,-0.360854,-0.997554,-0.167489,-0.351842,-0.046168,0.311043,1.190205,1.689297,class8,cluster6
75,0.057537,0.223372,-0.176912,-0.238358,-0.356851,-1.220749,0.012118,-0.335552,-0.604757,-0.387468,1.16146,0.940747,class9,cluster6
76,-0.00529,-0.079998,-0.111982,0.351259,-0.362185,-0.789669,-0.465058,0.579457,0.319822,-0.251955,0.128163,0.070495,class10,cluster8
77,0.047988,0.317003,-0.670575,0.113032,0.143736,-0.570737,-0.25842,1.469906,-0.820044,-1.658965,1.134636,-1.163969,class0,cluster1
78,0.08675,0.145694,0.257177,-0.44919,-0.040804,-0.802706,-0.179398,0.568737,0.483448,0.071681,-1.641688,-1.356032,class1,cluster7
79,0.062855,-0.097346,-0.072844,-0.172735,-0.423018,-0.168702,-0.206895,0.548318,0.809057,-0.271713,-1.3337,-1.074193,class2,cluster9
80,0.060646,-0.188473,-0.207716,-0.223095,-0.415557,0.467028,-0.61338,-0.180308,0.79552,-0.128302,-1.064841,-0.235747,class3,cluster9
81,-0.016696,0.042543,-0.051417,0.494952,-0.285679,0.028669,-0.315177,0.134555,0.354038,0.499821,-0.322322,1.254599,class4,cluster8
82,0.040585,0.098728,-0.050394,0.087509,-0.458569,-0.42361,-1.058564,0.904982,1.234702,0.43917,0.278469,0.092865,class5,cluster8
83,0.059115,-0.06494,0.216097,-0.221662,-0.596666,0.244117,-0.920701,-0.087589,0.312366,0.548061,-0.037269,1.752675,class6,cluster6
84,0.072548,0.206768,-0.626826,-0.132493,-0.295563,-0.761797,0.446775,0.327381,0.488287,0.022911,0.520617,2.621041,class7,cluster6
85,0.058365,0.144727,-0.264047,-0.177633,-0.445117,-0.923111,-0.083383,-0.106624,0.02278,0.053875,1.111967,1.868049,class8,cluster6
86,-0.00179,0.16559,-0.015099,0.191633,-0.162346,-1.142552,-0.264092,-0.330979,-0.974276,-0.235795,1.186892,1.172813,class9,cluster6
87,-0.017928,0.0037,-0.405547,0.462658,0.002468,-1.038234,-0.174956,0.590795,0.440343,-0.22616,0.228072,-0.109484,class10,cluster0
88,0.0137,0.303947,-0.781214,0.365952,0.248101,-0.586359,-0.331046,1.238065,-0.9103,-1.642398,1.460694,-1.016791,class0,cluster1
89,0.076557,0.140656,0.240063,-0.343658,-0.098066,-0.730793,-0.162552,0.614976,0.253702,-0.164795,-1.540137,-1.384066,class1,cluster7
90,0.044428,-0.218869,-0.086898,-0.09605,-0.336438,-0.29087,-0.157106,0.488152,0.574975,-0.382502,-1.18817,-1.127736,class2,cluster9
91,0.048921,-0.190313,-0.159405,-0.134547,-0.386518,0.324306,-0.706231,-0.132313,0.824595,-0.107728,-1.135781,-0.198639,class3,cluster9
92,-0.00976,0.029027,-0.10041,0.444159,-0.325877,0.19687,-0.270826,0.019856,0.300299,0.40189,-0.378527,1.343609,class4,cluster6
93,0.008771,-0.050176,-0.182501,0.194802,-0.01655,-0.634914,-0.925117,0.680352,1.091501,0.595372,0.433705,-0.154755,class5,cluster8
94,0.023005,-0.008187,0.245317,0.087792,-0.54333,-0.017704,-0.690586,-0.099432,0.243702,0.641905,-0.12561,1.762197,class6,cluster6
95,0.083779,0.342804,-0.714793,-0.185077,-0.145803,-0.702334,0.442824,0.236381,0.40708,-0.131815,0.245093,2.743401,class7,cluster6
96,0.031673,0.015577,-0.439942,-0.019736,-0.167891,-0.886964,0.063191,-0.078006,0.015315,0.162372,1.310094,1.755448,class8,cluster6
97,-0.018055,0.13014,-0.054613,0.318474,-0.146463,-1.121267,-0.10238,-0.379994,-1.02888,-0.198728,1.223345,1.240763,class9,cluster6
98,-0.022794,0.05616,-0.386521,0.557543,-0.170306,-1.037034,-0.205309,0.44709,0.420992,-0.508633,-0.174394,0.139657,class10,cluster6
99,-0.006411,0.151212,-0.980687,0.508818,0.259291,-0.420246,-0.108469,1.211954,-0.767486,-1.571715,1.780276,-1.18695,class0,cluster1
100,0.071141,0.110516,0.21406,-0.306692,-0.121235,-0.71564,-0.033987,0.585423,0.201463,-0.17969,-1.45694,-1.484959,class1,cluster7
101,0.050435,-0.262493,-0.053624,-0.182247,-0.356591,-0.308621,-0.133509,0.379961,0.603406,-0.310405,-1.216451,-1.166133,class2,cluster9
102,0.048075,-0.191619,-0.152656,-0.118481,-0.469406,0.374744,-0.781128,-0.215063,0.816146,-0.209454,-1.182261,-0.166684,class3,cluster9
103,-0.018416,0.020742,-0.102812,0.510883,-0.317256,0.145342,-0.386624,-0.064618,0.248856,0.238315,-0.555211,1.50657,class4,cluster6
104,0.004277,-0.036731,-0.015291,0.239545,-0.21254,-0.574605,-0.833736,0.54628,1.057142,0.726107,0.239176,-0.110288,class5,cluster8
105,0.029981,0.06021,0.187132,0.043092,-0.507835,-0.142298,-0.709342,-0.079133,0.375205,0.737144,0.135671,1.681438,class6,cluster6
106,0.08658,0.19875,-0.789849,-0.250112,-0.061379,-0.554286,0.555167,0.43605,0.494721,0.071041,0.579818,2.580619,class7,cluster6
107,-0.001867,0.107083,-0.446475,0.254533,0.038172,-0.774712,0.08452,-0.253934,-0.154648,0.358386,1.281363,1.840438,class8,cluster6
108,0.00733,0.180597,-0.174392,0.138508,-0.099704,-1.026598,-0.387346,-0.338172,-0.82248,-0.244138,1.39058,1.441319,class9,cluster6
109,-0.04892,-0.070334,0.02524,0.71009,-0.363869,-0.689578,-0.503644,0.364999,-0.015067,-0.394589,-0.406903,0.285756,class10,cluster8
110,-0.002799,-0.097287,-1.038601,0.410182,0.189067,-0.180725,0.013694,1.211965,-0.555199,-1.458787,1.845167,-1.553064,class0,cluster1
111,0.073208,0.175133,0.217529,-0.267237,-0.245331,-0.548487,-0.055751,0.62797,0.01719,-0.370879,-1.332823,-1.476828,class1,cluster7
112,0.061955,-0.226206,-0.048327,-0.225753,-0.449844,-0.288983,-0.05756,0.512765,0.774532,-0.258566,-1.33295,-1.060145,class2,cluster9
113,0.050663,-0.215383,-0.162365,-0.138805,-0.567786,0.278816,-0.780534,-0.240357,0.841164,-0.336719,-1.151675,-0.179333,class3,cluster9
114,-0.029508,-0.021642,-0.079643,0.594085,-0.411105,0.148159,-0.570337,-0.269168,0.112253,-0.135686,-0.89938,1.658508,class4,cluster6
115,0.029842,0.07315,0.117672,0.111421,-0.490673,-0.287628,-0.88654,0.539207,0.976867,0.658305,0.090329,0.099808,class5,cluster8
116,0.034997,0.052064,0.17561,-0.00462,-0.485941,-0.121693,-0.869109,-0.017299,0.47891,0.797963,0.303109,1.599129,class6,cluster6
117,0.087839,0.207145,-0.746993,-0.247117,-0.262093,-0.500755,0.479668,0.358935,0.622801,0.244909,0.946014,2.648521,class7,cluster6
118,-0.00226,0.332077,-0.40608,0.330875,0.189781,-0.777634,-0.247641,-0.214015,-0.275678,0.201723,0.939185,2.115339,class8,cluster6
119,0.040835,0.208356,-0.376293,-0.046776,-0.294252,-0.918759,-0.215998,-0.295902,-0.634317,-0.524524,1.392195,1.840207,class9,cluster6
120,-0.047997,-0.15311,0.02215,0.67194,-0.334511,-0.612195,-0.506989,0.483412,-0.0203,-0.265506,-0.12973,0.258403,class10,cluster8
121,-0.019804,-0.156193,-1.127573,0.502442,0.416112,-0.387034,0.038221,1.18025,-0.523837,-1.589517,1.540154,-1.766534,class0,cluster1
122,0.078088,0.34425,0.2135,-0.237409,-0.288684,-0.402578,-0.2292,0.664954,-0.347414,-0.63182,-0.973093,-1.425103,class1,cluster7
123,0.057972,-0.235352,-0.000166,-0.222204,-0.317772,-0.513103,0.007685,0.64058,0.925373,0.022428,-1.385089,-1.052219,class2,cluster9
124,0.054521,-0.288551,-0.200173,-0.22633,-0.508277,0.226278,-0.713334,-0.387202,0.790781,-0.381258,-1.181942,-0.19496,class3,cluster9
125,0.009564,-0.032161,-0.238146,0.266992,-0.264002,0.241723,-0.922502,-0.204057,0.339277,-0.311398,-0.918883,1.719128,class4,cluster6
126,0.040329,0.008376,0.149558,0.016925,-0.531571,-0.081662,-0.892349,0.524368,0.768759,0.477179,-0.118064,0.376927,class5,cluster8
127,0.052079,0.090572,0.092609,-0.103342,-0.396955,-0.018138,-1.036037,0.072159,0.502617,0.521214,-0.073227,1.873689,class6,cluster6
128,0.094437,0.297096,-0.62609,-0.257451,-0.528255,-0.589047,0.45446,0.204225,0.66433,0.240705,0.862158,2.916636,class7,cluster6
129,0.033636,0.403002,-0.19934,0.112817,-0.302518,-0.790178,-0.468213,-0.330827,-0.398282,-0.418751,0.324477,2.278428,class8,cluster6
130,0.035336,0.137591,-0.591296,0.054626,-0.33756,-0.929671,0.214192,-0.182967,-0.644659,-0.890011,1.112684,2.163664,class9,cluster6
131,0.024567,-0.133733,0.056129,0.148662,-0.646777,-0.159802,-0.662861,0.641725,0.159269,-0.396394,-0.172203,0.306124,class10,cluster8
132,-0.097053,-0.140816,-0.132405,0.030385,0.19658,0.177439,0.744351,-0.717132,-0.417342,-0.712513,-2.708842,-2.424998,class0,cluster7
133,-0.052777,0.185586,0.195515,-0.181687,-0.330294,-0.165383,0.910003,-0.582531,0.084493,0.037296,-2.479117,-1.546722,class1,cluster7
134,-0.072959,0.321277,0.01177,0.04091,-0.333251,0.182768,0.690199,-0.699858,-0.269327,-0.046357,-1.337285,-1.426317,class2,cluster5
135,-0.080541,0.526584,-0.220203,0.199217,-0.132089,0.387666,0.479997,-0.77363,0.175281,0.457465,-0.995421,-0.382376,class3,cluster5
136,-0.063781,0.436753,-0.176869,0.011376,-0.09785,0.616031,0.71441,-0.504254,0.038691,1.187214,0.155415,0.208207,class4,cluster5
137,-0.069918,0.487361,-0.296197,0.113018,-0.109046,0.731922,0.754593,-0.5886,0.128094,0.944056,-0.14457,-0.124297,class5,cluster5
138,-0.049686,0.414375,-0.194423,-0.144957,-0.092967,0.672707,0.946895,-0.677275,0.066162,1.559673,0.488102,0.543095,class6,cluster5
139,-0.053751,0.130442,-0.226681,-0.202253,-0.059614,1.149136,0.365847,-0.702591,-0.499934,1.281434,1.072774,2.123675,class7,cluster5
140,-0.002986,0.197824,-0.193851,-0.797793,0.48575,0.127179,-0.239886,-0.73676,0.019325,1.072382,0.500028,0.016329,class8,cluster5
141,-0.024806,0.358337,0.232581,-0.632437,0.459175,-0.776487,-0.90474,-0.51574,-0.670806,0.647909,0.55101,1.009537,class9,cluster6
142,-0.090758,0.227176,0.12679,0.078815,0.035461,0.432356,0.501179,-0.513085,-1.035234,0.429399,-0.347829,-0.044752,class10,cluster5
143,-0.103279,-0.099907,-0.241083,0.101102,0.158496,0.124543,0.825679,-0.841082,-0.448192,-0.863149,-2.520729,-2.551156,class0,cluster7
144,-0.054708,0.174862,0.197195,-0.173592,-0.358762,-0.173036,0.96443,-0.663022,0.130782,0.089165,-2.503766,-1.568471,class1,cluster7
145,-0.07072,0.276193,0.054592,0.003333,-0.331973,0.20379,0.6763,-0.749138,-0.071042,0.116765,-1.618011,-1.350945,class2,cluster5
146,-0.088349,0.46701,-0.136095,0.22652,-0.15626,0.412658,0.490727,-0.811041,0.173071,0.621516,-0.974926,-0.470218,class3,cluster5
147,-0.057483,0.450788,-0.154906,-0.045201,-0.147373,0.608602,0.830444,-0.577458,0.135753,1.344604,0.185911,0.066665,class4,cluster5
148,-0.071239,0.533792,-0.300645,0.137757,-0.079653,0.589049,0.83036,-0.566275,0.096855,0.908613,-0.215169,-0.01487,class5,cluster5
149,-0.040294,0.396381,-0.170026,-0.23245,-0.178025,0.680395,0.76263,-0.659693,0.122342,1.511894,0.7032,0.25874,class6,cluster5
150,-0.0607,0.203689,-0.233372,-0.161514,0.116134,0.923765,0.151228,-0.755158,-0.498999,1.259853,1.018726,2.200677,class7,cluster5
151,-0.022908,0.235805,-0.283656,-0.599803,0.375771,0.362435,-0.300021,-0.869499,-0.255404,0.816871,0.981858,-0.248132,class8,cluster5
152,-0.040465,0.293576,0.148012,-0.503209,0.471564,-0.547845,-0.933133,-0.442675,-0.778461,0.617798,0.934536,0.929201,class9,cluster6
153,-0.09096,0.115843,0.284389,0.00864,-0.014385,0.490828,0.259721,-0.48353,-0.929598,0.686816,-0.156886,-0.464498,class10,cluster5
154,-0.119383,-0.02101,-0.242466,0.25249,0.290504,0.145693,0.682769,-0.759324,-0.615072,-0.898472,-2.406614,-2.577954,class0,cluster7
155,-0.046101,0.201587,0.214228,-0.235619,-0.372002,-0.146828,1.01131,-0.657993,0.202415,0.209863,-2.512665,-1.540035,class1,cluster7
156,-0.066083,0.331177,0.062382,-0.015759,-0.334672,0.293886,0.586611,-0.796677,0.040066,0.202131,-1.680102,-1.406465,class2,cluster5
157,-0.088075,0.439681,-0.090888,0.20645,-0.176719,0.442497,0.471578,-0.834834,0.258491,0.767385,-0.974333,-0.535332,class3,cluster5
158,-0.062372,0.467704,-0.141878,0.009907,-0.17404,0.686924,0.776357,-0.566609,0.179961,1.398431,0.219691,-0.007881,class4,cluster5
159,-0.061343,0.542799,-0.276042,0.044086,-0.096116,0.54084,0.758523,-0.617951,0.24547,1.00937,-0.227377,-0.098535,class5,cluster5
160,-0.038133,0.33624,-0.146986,-0.287618,-0.294431,0.753763,0.658342,-0.778954,0.092806,1.438623,0.968576,-0.288024,class6,cluster5
161,-0.066655,0.293694,-0.307073,-0.142342,0.454643,0.664951,-0.041474,-0.80548,-0.516594,1.223317,0.913312,2.202226,class7,cluster5
162,-0.059737,0.235523,-0.133551,-0.326621,0.497224,0.442148,-0.283577,-0.889226,-0.727274,0.86619,0.898976,-0.083037,class8,cluster5
163,-0.02855,0.440093,-0.081331,-0.514176,0.429156,-0.443649,-1.087814,-0.515126,-0.628469,0.438421,1.336286,1.045201,class9,cluster6
164,-0.102672,0.056308,0.350387,0.075991,0.057847,0.579885,-0.08958,-0.428445,-0.852687,0.716727,-0.298018,-0.576364,class10,cluster5
165,-0.100283,0.031638,-0.245573,0.11525,0.297588,0.141741,0.735806,-0.682562,-0.596854,-0.87045,-2.386976,-2.553038,class0,cluster7
166,-0.045014,0.235256,0.206908,-0.233273,-0.336353,-0.129433,1.034412,-0.612998,0.167731,0.233742,-2.462187,-1.562552,class1,cluster7
167,-0.047337,0.439416,0.081014,-0.139856,-0.335214,0.246552,0.539982,-0.790448,0.159698,0.280328,-1.72619,-1.429329,class2,cluster5
168,-0.080325,0.511044,-0.083516,0.157842,-0.171634,0.366312,0.352818,-0.839007,0.380775,0.823679,-0.932382,-0.590609,class3,cluster5
169,-0.057021,0.499055,-0.135105,-0.021566,-0.2722,0.727257,0.788032,-0.655959,0.250192,1.454549,0.327153,-0.118478,class4,cluster5
170,-0.067865,0.520479,-0.236354,0.070259,-0.095726,0.572214,0.689159,-0.72424,0.287746,1.081364,-0.26728,-0.344439,class5,cluster5
171,-0.029206,0.369357,-0.092664,-0.372119,-0.233395,0.736672,0.686567,-0.774305,0.040956,1.507152,0.859857,-0.350598,class6,cluster5
172,-0.039938,0.296351,-0.287626,-0.405936,0.569887,0.482965,-0.081361,-0.733759,-0.41647,1.276197,0.897825,1.819312,class7,cluster5
173,-0.102432,0.185848,0.233754,0.024749,0.431703,0.450528,-0.228989,-0.576162,-1.240902,0.917419,0.537336,0.210792,class8,cluster5
174,-0.024402,0.522782,-0.093066,-0.516572,0.323395,-0.443201,-1.131764,-0.618656,-0.603523,0.4155,1.525012,0.986521,class9,cluster6
