@relation vowel_ica_0.95_clustered

@attribute Instance_number numeric
@attribute attr_1 numeric
@attribute attr_2 numeric
@attribute attr_3 numeric
@attribute attr_4 numeric
@attribute Classes {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
312,-1.163084,1.308786,0.847787,-0.180154,class4,cluster3
313,-0.823614,1.18894,0.998241,0.839383,class5,cluster7
314,-0.633822,1.235825,0.751909,-0.926778,class6,cluster3
315,0.136122,1.124497,0.657836,-1.741647,class7,cluster3
316,-0.038297,1.104875,0.77949,-0.895617,class8,cluster3
317,0.055459,1.075771,0.805587,-0.742646,class9,cluster3
318,-0.54789,1.139845,0.983527,0.718213,class10,cluster7
319,-0.981854,1.264236,0.967511,0.520585,class0,cluster7
320,-0.409195,1.084046,1.09221,1.436364,class1,cluster7
321,0.361758,0.939368,1.061249,1.053147,class2,cluster7
322,-0.196961,1.017587,1.11845,1.541411,class3,cluster7
323,-0.824185,1.23749,0.847974,-0.248454,class4,cluster3
324,-0.819363,1.201238,0.965712,0.598806,class5,cluster7
325,-0.372396,1.173349,0.766636,-0.889104,class6,cluster3
326,0.461735,1.058356,0.672194,-1.673515,class7,cluster3
327,0.024398,1.073901,0.824177,-0.565821,class8,cluster3
328,0.119836,1.094812,0.732626,-1.319929,class9,cluster3
329,-0.214172,1.065687,1.000575,0.759185,class10,cluster7
330,-2.007291,1.403546,0.994381,0.992262,class0,cluster7
331,-0.06463,1.030065,1.062924,1.146353,class1,cluster7
332,0.697766,0.845774,1.140416,1.566538,class2,cluster7
333,0.015246,1.012104,1.009389,0.769385,class3,cluster7
334,1.422383,0.81467,0.800896,-0.97498,class4,cluster3
335,1.257651,0.81427,0.895507,-0.288537,class5,cluster3
336,1.110584,0.869016,0.77241,-1.111829,class6,cluster3
337,0.570317,1.005658,0.701874,-1.491296,class7,cluster3
338,3.186213,0.451634,0.84224,-0.987721,class8,cluster3
339,1.145564,0.831495,0.821632,-0.71538,class9,cluster3
340,2.470671,0.564699,0.924976,-0.323154,class10,cluster3
341,-2.076739,1.410385,1.013772,1.133506,class0,cluster7
342,-0.176351,1.03978,1.080971,1.276913,class1,cluster7
343,0.283764,0.926094,1.140495,1.639909,class2,cluster7
344,0.37304,0.951796,0.995212,0.59385,class3,cluster7
345,1.345344,0.826269,0.805573,-0.919603,class4,cluster3
346,1.383251,0.798212,0.879648,-0.453705,class5,cluster3
347,0.832844,0.911781,0.796524,-0.891073,class6,cluster3
348,0.835953,0.956646,0.704865,-1.514997,class7,cluster3
349,3.393427,0.443621,0.776626,-1.507359,class8,cluster3
350,1.183519,0.825301,0.808926,-0.814883,class9,cluster3
351,2.508446,0.560772,0.922367,-0.335066,class10,cluster3
352,-2.446833,1.483159,1.018809,1.257136,class0,cluster7
353,-0.497492,1.105977,1.075783,1.303658,class1,cluster7
354,-0.073388,0.99631,1.142126,1.729788,class2,cluster7
355,0.527718,0.924207,0.991969,0.548505,class3,cluster7
356,1.00966,0.885649,0.809347,-0.836901,class4,cluster3
357,1.632019,0.750025,0.879983,-0.507595,class5,cluster3
358,0.984061,0.880587,0.798221,-0.920495,class6,cluster3
359,1.270744,0.884636,0.678864,-1.794469,class7,cluster3
360,3.464231,0.424703,0.801814,-1.327005,class8,cluster3
361,1.773657,0.734357,0.750702,-1.36863,class9,cluster3
362,2.514426,0.56724,0.908722,-0.430405,class10,cluster3
363,-2.396189,1.476708,1.018797,1.271225,class0,cluster7
364,-0.338135,1.07327,1.072598,1.251559,class1,cluster7
365,-0.310182,1.047962,1.131909,1.713743,class2,cluster7
366,0.225134,0.981397,0.984207,0.556543,class3,cluster7
367,0.94954,0.895142,0.804339,-0.882302,class4,cluster3
368,2.052178,0.666905,0.893358,-0.480915,class5,cluster3
369,0.899107,0.897866,0.798556,-0.92858,class6,cluster3
370,1.354044,0.878854,0.653468,-2.008369,class7,cluster3
371,3.241661,0.45995,0.807007,-1.26447,class8,cluster3
372,1.032058,0.875918,0.749107,-1.228859,class9,cluster3
373,2.586875,0.553107,0.898737,-0.517594,class10,cluster3
374,-2.176053,1.442388,0.992398,1.034422,class0,cluster7
375,-0.144624,1.032315,1.076767,1.256965,class1,cluster7
376,-0.431732,1.072296,1.134985,1.773149,class2,cluster7
377,0.335096,0.967803,0.968489,0.424512,class3,cluster7
378,1.162505,0.863379,0.783386,-1.082329,class4,cluster3
379,2.207528,0.630977,0.924831,-0.252253,class5,cluster3
380,0.441208,0.990732,0.792701,-0.907761,class6,cluster3
381,1.241801,0.898685,0.657247,-1.96082,class7,cluster3
382,3.047839,0.491472,0.835304,-1.033068,class8,cluster3
383,0.788604,0.924093,0.752557,-1.141541,class9,cluster3
384,2.708292,0.528492,0.896678,-0.556049,class10,cluster3
385,-2.012381,1.414745,0.979182,0.903475,class0,cluster7
386,0.330899,0.937784,1.076391,1.184739,class1,cluster7
387,-0.439959,1.067355,1.150131,1.889803,class2,cluster7
388,0.26766,0.988605,0.953077,0.336328,class3,cluster7
389,1.297199,0.843055,0.777004,-1.145165,class4,cluster3
390,2.083892,0.655613,0.923279,-0.22855,class5,cluster3
391,0.473284,1.000512,0.768559,-1.096089,class6,cluster3
392,1.317171,0.893919,0.629214,-2.185168,class7,cluster3
393,2.467847,0.590428,0.905308,-0.421785,class8,cluster3
394,1.227982,0.835144,0.751306,-1.227195,class9,cluster3
395,2.654831,0.539311,0.89386,-0.566669,class10,cluster3
396,0.101718,0.974597,1.028151,0.806012,class0,cluster7
397,0.653777,0.848914,1.109948,1.360617,class1,cluster7
398,1.130253,0.752285,1.135701,1.447388,class2,cluster7
399,0.07803,0.956922,1.079932,1.274716,class3,cluster7
400,1.185328,0.857693,0.829061,-0.699249,class4,cluster3
401,0.068304,1.031394,0.92311,0.146964,class5,cluster7
402,2.684746,0.591225,0.769912,-1.440025,class6,cluster3
403,0.94868,0.997335,0.516729,-2.886558,class7,cluster3
404,-0.26208,1.151309,0.7317,-1.05575,class8,cluster3
405,-1.045014,1.305321,0.731158,-0.880302,class9,cluster3
406,0.593096,0.919762,0.968347,0.419821,class10,cluster7
407,-0.215312,1.039265,1.022229,0.841104,class0,cluster7
408,0.596942,0.870286,1.090769,1.229413,class1,cluster7
409,0.902184,0.778104,1.174996,1.769721,class2,cluster7
410,0.391321,0.898736,1.063979,1.087597,class3,cluster7
411,1.326518,0.843378,0.80009,-0.942545,class4,cluster3
412,-0.437399,1.122981,0.942087,0.385294,class5,cluster7
413,2.866953,0.552033,0.77753,-1.423397,class6,cluster3
414,0.733531,1.013173,0.577177,-2.373702,class7,cluster3
415,-0.116414,1.139139,0.706828,-1.273084,class8,cluster3
416,-1.118463,1.330191,0.709944,-1.023518,class9,cluster3
417,-0.043507,1.032071,0.99219,0.731403,class10,cluster7
418,-0.485764,1.092764,1.022709,0.905875,class0,cluster7
419,0.673952,0.8658,1.072722,1.088273,class1,cluster7
420,0.844362,0.798622,1.144584,1.569676,class2,cluster7
421,0.462894,0.889854,1.057746,1.031357,class3,cluster7
422,1.285579,0.85588,0.791553,-0.980626,class4,cluster3
423,-0.455906,1.135658,0.9304,0.312777,class5,cluster7
424,2.789239,0.5657,0.77441,-1.40741,class6,cluster3
425,0.475817,1.03348,0.632958,-1.902469,class7,cluster3
426,-0.5562,1.224042,0.723215,-1.085883,class8,cluster3
427,-0.852175,1.29832,0.672928,-1.346466,class9,cluster3
428,-0.790759,1.165724,1.012083,1.03008,class10,cluster7
429,-0.810173,1.16151,1.005475,0.835612,class0,cluster7
430,0.460268,0.912383,1.061474,1.066065,class1,cluster7
