@relation vowel-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute Class {hid,hId,hEd,hAd,hYd,had,hOd,hod,hUd,hud,hed}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
58,2.393694,-4.288558,0,-0.280592,1.274789,-2.627521,-0.35507,-5.684591,4.465227,2.307092,hAd,cluster5
59,3.216418,-4.532777,0,0.102191,0.983805,-4.449639,-1.136225,-5.542563,4.234864,3.076122,hYd,cluster5
60,4.808173,-2.819779,0,0.872954,0.268468,-5.991164,-1.221096,-6.619898,3.425996,2.45778,had,cluster9
61,3.164457,-2.925434,0,0.509223,0.462458,-7.484192,-0.88681,-7.196671,2.303628,1.203775,hOd,cluster5
62,2.79553,-2.078461,0,-0.273664,0.507491,-8.526886,-0.452065,-8.412571,3.034553,0.041569,hod,cluster9
63,-0.129904,-6.567937,0,0.306573,-0.022517,-4.97445,-3.025893,-3.372303,3.346322,0.672036,hUd,cluster5
64,1.728587,-6.514243,0,-1.060015,1.733783,-5.663806,-0.917987,-4.879187,4.259113,2.892525,hud,cluster5
65,0.95436,-4.292022,0,0.448601,1.231488,-3.398284,-0.916255,-5.703643,3.845153,1.707802,hed,cluster5
66,2.031696,-7.383733,0,-0.732657,1.15701,-6.895294,-1.326751,0.187061,0.571577,3.578417,hid,cluster4
67,0.254611,-3.199098,0,0.672036,-0.074478,-4.475619,-2.050748,-0.689356,-2.151207,0.476314,hId,cluster5
68,1.725123,-4.408069,0,0.590629,0.460726,-2.979127,-0.838313,-1.10678,0.959556,0.959556,hEd,cluster5
69,3.938684,-3.710053,0,-0.640859,0.850437,-3.114227,0.812332,-3.848617,3.032821,0.332554,hAd,cluster5
70,5.384946,0.374123,0,-0.121244,0.661643,-5.260238,0.1351,-6.642415,3.476226,0.701481,hYd,cluster9
71,4.479083,0.266736,0,0.147224,-0.038105,-5.332984,-0.039837,-2.700267,0.943968,0.453797,had,cluster5
72,6.379143,-0.478046,0,0.682428,0.427817,-6.625094,0.968216,-6.496923,4.555294,-1.205507,hOd,cluster9
73,6.308129,-0.311769,0,0.876418,-1.122369,-7.205331,-1.297306,-6.625094,5.428247,-2.17892,hod,cluster2
74,6.408588,-0.86949,0,-0.581969,-1.425478,-8.338093,-2.535722,-5.338181,3.956004,-0.725729,hUd,cluster2
75,5.1771,-3.838225,0,-0.888542,-1.331947,-8.450676,-3.490082,-3.446781,3.242399,0.407032,hud,cluster5
76,4.267773,-2.684679,0,0.374123,0.232095,-5.601452,-1.344071,-3.207758,2.152939,1.938165,hed,cluster5
77,1.886203,-7.295398,0,-1.146618,1.134493,-7.203599,-1.063479,0.213042,0.48151,3.206026,hid,cluster5
78,0.443405,-4.065123,0,0.554256,0.275396,-4.491208,-2.012643,-0.919719,-1.524205,1.177795,hId,cluster5
79,1.596951,-4.165582,0,0.59929,0.55772,-2.814583,-0.803672,-1.364856,0.987269,0.942236,hEd,cluster5
80,3.694464,-3.387891,0,-0.181865,0.710141,-3.129816,0.415692,-3.521259,2.79553,0.42262,hAd,cluster5
81,5.625701,0.138564,0,0.048497,0.834848,-4.880919,-0.006928,-7.260757,4.413265,0.900666,hYd,cluster9
82,4.486012,0.263272,0,0.580237,0.045033,-5.59972,0.181865,-2.819779,1.079068,0.21131,had,cluster5
83,6.235383,0.39664,0,0.055426,0.609682,-6.687448,0.713605,-7.137781,4.089372,-0.318697,hOd,cluster9
84,6.53676,-0.289252,0,1.158742,-0.926647,-7.236508,-1.36832,-7.167226,5.733088,-1.891399,hod,cluster2
85,6.380875,-1.290378,0,-0.048497,-1.205507,-8.151031,-2.126958,-5.440372,4.453103,-0.848705,hUd,cluster2
86,5.921882,-3.117691,0,-1.179527,-0.48151,-8.933918,-2.965271,-5.156315,3.372303,1.939897,hud,cluster9
87,4.021822,-3.034553,0,0.209578,-0.129904,-5.476745,-1.801333,-2.946218,1.82385,1.778816,hed,cluster5
88,2.752229,-7.158566,0,-1.591755,1.085996,-7.335235,-1.117173,-0.384515,1.058283,3.663287,hid,cluster4
89,0.498831,-4.589935,0,0.412228,0.536936,-4.472155,-1.99359,-0.909327,-1.14835,1.725123,hId,cluster5
90,1.577898,-4.948469,0,0.433013,0.597558,-3.08305,-1.046159,-1.383909,1.01325,1.413353,hEd,cluster5
91,3.886722,-3.103835,0,0.022517,0.770763,-3.308217,0.332554,-3.691,2.558239,0.812332,hAd,cluster5
92,5.73482,-0.155885,0,-0.055426,0.909327,-4.678269,0.147224,-7.470335,4.899972,0.772495,hYd,cluster9
93,4.233132,-0.618342,0,0.038105,-0.12644,-5.817959,-0.161081,-2.925434,0.5404,0.474582,had,cluster5
94,6.313325,0.74305,0,0.147224,0.533472,-6.368751,0.015588,-7.55867,4.297218,0.256344,hOd,cluster9
95,6.703037,-0.465922,0,1.136225,-0.723997,-7.411445,-1.293842,-7.608899,5.72616,-1.669697,hod,cluster2
96,6.209402,-1.652376,0,-0.361999,-1.132761,-7.920668,-1.879275,-5.707107,4.508528,-0.850437,hUd,cluster2
97,5.994628,-3.135012,0,-1.264397,-0.478046,-8.623881,-3.063998,-5.53217,3.869402,1.97627,hud,cluster9
98,4.660949,-3.038017,0,0.611414,0.057158,-5.125138,-1.99359,-3.486618,2.561703,2.411015,hed,cluster5
99,2.615397,-7.515368,0,-1.919112,0.900666,-6.41898,-0.930111,-0.145492,1.761496,3.188706,hid,cluster5
100,0.310037,-4.9069,0,0.263272,0.457261,-4.201955,-2.156403,-0.715337,-0.940504,1.669697,hId,cluster5
101,1.460119,-5.066249,0,0.394908,0.426084,-3.038017,-1.179527,-1.243612,0.940504,1.150082,hEd,cluster5
102,4.141333,-3.186973,0,0.029445,0.820992,-3.20083,0.353338,-3.716981,2.802458,1.006322,hAd,cluster5
103,6.231919,-0.245951,0,0.133368,1.091192,-4.828958,0.142028,-7.918936,5.081837,1.347536,hYd,cluster9
104,4.208883,-0.221703,0,0.069282,-0.15242,-5.313932,-0.429549,-3.195634,0.966484,0.452065,had,cluster5
105,6.316789,0.992465,0,0.027713,0.159349,-6.62163,-0.178401,-7.03559,3.954272,-0.138564,hOd,cluster9
106,6.095087,-0.588897,0,0.919719,-0.774227,-7.264221,-0.803672,-7.272881,5.575472,-2.436995,hod,cluster2
107,6.586989,-1.108513,0,-0.860829,-0.843509,-7.783836,-1.794405,-6.793103,4.802977,-0.294449,hUd,cluster2
108,6.515975,-2.753961,0,-1.207239,-0.530008,-9.237027,-2.459512,-5.502725,3.675412,1.513812,hud,cluster9
109,4.894776,-2.618861,0,0.41396,0.976877,-5.161511,-1.378712,-4.737159,2.925434,3.509135,hed,cluster5
110,1.882739,-8.171816,0,-2.064605,0.774227,-5.421319,-0.547328,0.59929,1.867151,2.430067,hid,cluster5
111,0.398372,-5.113014,0,0.064086,0.682428,-4.181171,-2.021303,-0.652983,-0.517883,1.939897,hId,cluster5
112,1.37698,-4.586471,0,0.739586,0.370659,-2.793798,-1.09812,-1.279986,1.077336,0.737854,hEd,cluster5
113,4.234864,-3.457173,0,0.166277,0.659911,-3.190438,0.105655,-3.374035,2.906381,1.046159,hAd,cluster5
114,6.917811,-0.803672,0,0.368927,1.428942,-4.778728,0.093531,-8.372734,5.552955,2.378106,hYd,cluster9
115,4.324931,0.195722,0,0.129904,0.065818,-5.199617,-0.150688,-3.453709,1.522473,0.225167,had,cluster5
116,6.339306,1.172598,0,-0.053694,0.112583,-6.839869,0.07621,-6.716893,3.588809,-0.294449,hOd,cluster9
117,6.458817,0.083138,0,0.727461,-1.125833,-7.219188,-0.824456,-7.047715,5.942666,-2.960075,hod,cluster2
118,7.28847,-0.467654,0,-0.682428,-0.265004,-8.537278,-1.465315,-7.730143,4.43405,0.725729,hUd,cluster9
119,6.89183,-2.8804,0,-0.75171,-0.770763,-9.046501,-2.324412,-5.53217,4.71291,0.635663,hud,cluster9
120,4.685197,-2.565167,0,0.254611,0.976877,-5.338181,-1.060015,-4.643628,2.828439,3.138476,hed,cluster5
121,1.707802,-8.8681,0,-1.887935,0.862561,-5.25331,-0.791547,0.699749,1.356196,3.084782,hid,cluster4
122,0.744782,-5.315664,0,-0.441673,0.976877,-4.903436,-1.856758,-0.595825,-0.344678,2.492421,hId,cluster5
123,1.118905,-3.985449,0,0.999393,0.188794,-2.992984,-1.266129,-1.385641,0.471118,0.462458,hEd,cluster5
124,4.15519,-4.03741,0,0.100459,0.516151,-3.261452,-0.083138,-3.304753,2.902917,0.926647,hAd,cluster5
125,7.122193,-1.085996,0,0.542132,1.4861,-5.504457,0.867757,-8.022859,4.85667,1.962414,hYd,cluster9
126,4.444442,-0.187061,0,0.263272,0.493634,-5.353769,0.263272,-4.175974,2.028231,0.365463,had,cluster5
127,6.694376,1.060015,0,0.382783,0.573309,-7.156834,0.651251,-7.324843,3.588809,0.020785,hOd,cluster9
128,7.014806,0.708409,0,0.976877,-1.382177,-7.226116,-1.271325,-7.243436,6.458817,-3.031089,hod,cluster2
129,7.664325,-1.136225,0,0.065818,-0.048497,-8.542475,-1.834242,-7.345627,4.825494,1.465315,hUd,cluster9
130,6.978433,-3.562829,0,-0.136832,-0.642591,-8.362341,-2.456048,-6.143584,5.959987,0.658179,hud,cluster9
131,4.246989,-2.648306,0,0.441673,1.027106,-5.346841,-0.171473,-3.867669,2.856152,1.834242,hed,cluster5
132,-0.497099,-7.494584,0,-1.401229,1.222828,-0.237291,-2.53399,-3.152332,3.138476,3.188706,hid,cluster5
133,0.181865,-3.881526,0,-0.528275,0.046765,-0.860829,-3.351518,-3.675412,3.621718,1.009786,hId,cluster5
134,1.229756,-3.708321,0,-1.865419,0.103923,-1.569238,-2.847492,-3.798387,4.586471,1.191651,hEd,cluster5
135,3.228543,-0.772495,0,-1.855026,-0.012124,-2.182384,-1.815189,-6.160905,5.656878,0.188794,hAd,cluster5
136,3.117691,0.708409,0,-2.462976,-0.389711,-3.415604,-1.099852,-7.049447,6.211134,-1.97627,hYd,cluster2
137,2.949683,0.072746,0,-2.52533,-0.251147,-2.443924,-1.151814,-6.567937,6.349698,-1.513812,had,cluster2
138,3.212954,1.288646,0,-2.747033,-0.904131,-3.659823,-1.188187,-7.553474,6.754998,-3.306485,hOd,cluster2
139,5.703643,1.775352,0,-2.703731,0.171473,-6.100283,0.805404,-10.924044,8.653326,-2.908113,hod,cluster2
140,3.244131,-0.931843,0,-2.672554,-0.793279,-6.83294,-0.718801,-5.700179,2.953147,-2.126958,hUd,cluster2
141,5.159779,-0.006928,0,-1.652376,-0.296181,-10.388841,-1.541525,-7.271149,2.17026,0.429549,hud,cluster9
142,2.613665,-2.059408,0,-2.471637,0.859097,-4.558758,-1.432406,-7.310986,5.442104,0.923183,hed,cluster9
143,-0.363731,-7.958773,0,-1.654109,0.973413,-0.024249,-2.927166,-2.676018,3.445049,3.289164,hid,cluster5
144,0.176669,-3.852081,0,-0.554256,-0.081406,-0.633931,-3.491814,-3.642503,3.744694,0.879882,hId,cluster5
145,1.247077,-3.266648,0,-1.593487,0.088335,-1.259201,-2.71066,-4.132673,4.539705,0.935307,hEd,cluster5
146,3.05707,-0.630466,0,-1.96761,-0.034641,-2.002251,-1.829046,-6.166101,5.592792,0.121244,hAd,cluster5
147,2.805922,0.808868,0,-2.585952,-0.696284,-3.086515,-1.352732,-6.658003,6.147048,-2.469904,hYd,cluster2
148,3.027625,0.14376,0,-2.345197,-0.306573,-2.620593,-1.425478,-6.746338,6.354894,-1.402961,had,cluster2
149,3.046677,1.011518,0,-2.934094,-1.042695,-3.767211,-1.150082,-6.602578,6.292541,-3.354982,hOd,cluster2
150,6.162637,2.003983,0,-2.629253,0.180133,-6.798299,0.66684,-11.150943,8.067893,-2.369446,hod,cluster2
151,3.493546,-1.657573,0,-3.503939,-0.668572,-6.538492,-0.696284,-5.175368,3.609594,-1.527669,hUd,cluster2
152,5.220401,-0.209578,0,-2.097514,-0.07621,-10.252009,-1.063479,-7.272881,2.568631,0.533472,hud,cluster9
153,2.133887,-1.945093,0,-2.762621,0.789815,-4.520653,-1.189919,-6.46055,4.586471,0.762102,hed,cluster5
154,-0.173205,-7.809817,0,-1.905256,1.30943,-0.407032,-2.721052,-2.953147,3.20949,3.962932,hid,cluster4
155,0.060622,-3.557632,0,-0.543864,-0.192258,-0.583701,-3.477958,-3.649431,3.711785,0.488438,hId,cluster5
156,1.293842,-2.927166,0,-1.680089,0.086603,-1.094656,-2.549579,-4.089372,4.413265,0.815796,hEd,cluster5
157,2.944486,-0.394908,0,-2.009179,-0.112583,-1.846366,-1.777084,-6.084694,5.471549,-0.102191,hAd,cluster5
158,2.824975,1.034034,0,-2.691607,-0.639127,-2.885597,-1.214168,-6.606042,6.155709,-2.423139,hYd,cluster2
159,2.967003,0.327358,0,-2.32268,-0.530008,-2.637913,-1.496492,-6.396464,6.010216,-1.70607,had,cluster2
160,2.596344,0.155885,0,-3.469298,-1.247077,-3.438121,-1.312895,-5.230793,5.932274,-3.315145,hOd,cluster2
161,6.458817,1.971074,0,-2.632717,0.225167,-7.621024,0.543864,-11.358789,7.16203,-1.77362,hod,cluster2
162,3.66502,-1.527669,0,-3.794923,-0.010392,-6.796567,-0.597558,-6.47787,3.909239,-0.439941,hUd,cluster9
163,5.992896,-0.019053,0,-2.376374,-0.32909,-10.444266,-0.859097,-6.943792,3.0155,0.239023,hud,cluster9
164,2.310556,-1.700874,0,-2.71932,1.203775,-4.589935,-0.604486,-6.616434,4.051267,1.364856,hed,cluster9
165,-0.419156,-7.752659,0,-1.856758,1.208971,-0.62527,-2.71932,-2.771281,3.008572,3.53858,hid,cluster5
166,-0.043301,-3.512599,0,-0.630466,-0.162813,-0.654715,-3.445049,-3.637307,3.632111,0.453797,hId,cluster5
167,1.205507,-2.572095,0,-1.628128,-0.103923,-1.273057,-2.637913,-3.803584,4.01143,0.46419,hEd,cluster5
168,3.029357,-0.07621,0,-2.002251,-0.284056,-2.045552,-1.844634,-5.767729,5.076641,-0.216506,hAd,cluster2
169,2.781674,1.108513,0,-2.873472,-0.874686,-2.64311,-1.35966,-6.192082,6.238847,-2.721052,hYd,cluster2
170,2.812851,0.221703,0,-2.530526,-0.562917,-2.329608,-1.544989,-6.06391,5.753873,-1.576166,had,cluster2
171,2.272451,0.119512,0,-3.503939,-1.229756,-3.581881,-1.378712,-5.187492,5.558151,-3.40348,hOd,cluster2
172,5.651682,1.460119,0,-2.632717,-0.079674,-7.991682,0.310037,-10.201779,5.890705,-2.182384,hod,cluster2
173,3.573221,-0.914523,0,-3.400016,1.014982,-6.957648,-0.452065,-8.12505,4.221008,1.023642,hUd,cluster9
174,6.195546,0.079674,0,-2.599808,-0.575041,-10.423482,-1.0808,-6.529832,3.148868,0.128172,hud,cluster2
175,2.262058,-1.363124,0,-2.308824,1.333679,-4.503332,-0.758638,-7.236508,4.023554,1.598683,hed,cluster9
176,-0.722265,-7.633148,0,-1.622932,1.214168,-0.711873,-2.752229,-2.890793,2.861348,3.282236,hid,cluster5
177,-0.344678,-3.862473,0,-0.975145,-0.012124,-1.008054,-3.446781,-3.244131,3.387891,0.627002,hId,cluster5
178,0.994197,-2.603272,0,-1.676625,-0.07621,-1.515544,-2.86308,-3.762014,3.815708,0.590629,hEd,cluster5
179,3.005108,-0.159349,0,-2.081925,-0.342946,-2.029964,-1.872347,-5.551223,4.953665,-0.237291,hAd,cluster2
180,2.696803,0.930111,0,-3.070926,-0.703213,-2.980859,-1.243612,-6.039661,5.694983,-2.32268,hYd,cluster2
181,2.579024,-0.147224,0,-2.568631,-0.387979,-2.253398,-1.619468,-6.051786,5.551223,-1.222828,had,cluster2
182,2.201437,0.316965,0,-3.162725,-1.299038,-3.594005,-1.506884,-5.577204,5.738284,-3.763746,hOd,cluster2
183,4.711178,0.774227,0,-2.80419,-0.623538,-7.006146,-0.701481,-9.720269,6.434569,-2.878668,hod,cluster2
184,3.647699,-0.69282,0,-2.999912,1.10678,-7.442622,-0.635663,-8.095605,3.765478,1.428942,hUd,cluster9
185,5.868188,-0.342946,0,-2.66043,-0.687624,-10.444266,-1.085996,-6.041393,2.818047,-0.086603,hud,cluster2
186,2.326144,-1.295574,0,-2.095781,1.333679,-4.311074,-0.9457,-7.648736,4.387285,1.622932,hed,cluster9
187,-1.082532,-7.42357,0,-1.44453,1.181259,-0.620074,-2.743568,-3.070926,2.717588,2.790334,hid,cluster5
188,-0.60795,-4.318003,0,-1.437602,0.150688,-1.538061,-3.379231,-2.849224,3.166189,0.793279,hId,cluster5
189,0.820992,-3.152332,0,-2.062873,-0.155885,-1.754567,-3.233739,-3.160993,3.713517,0.862561,hEd,cluster5
190,2.918506,-0.483242,0,-2.185848,-0.251147,-2.050748,-1.881007,-5.466352,4.884383,-0.019053,hAd,cluster5
191,2.653502,0.474582,0,-3.216418,-0.504027,-3.100371,-1.070407,-5.772925,5.433443,-1.879275,hYd,cluster2
192,2.759157,-0.483242,0,-2.404087,-0.514419,-2.679483,-1.815189,-5.625701,4.872259,-0.881614,had,cluster2
193,2.310556,0.54906,0,-2.842295,-1.361392,-3.405212,-1.541525,-5.693251,5.880312,-3.917899,hOd,cluster2
194,5.334716,1.318091,0,-2.748765,-0.403568,-7.376804,-0.019053,-9.784355,6.145316,-2.610201,hod,cluster2
195,2.539186,-1.370052,0,-2.724516,0.87815,-6.666664,-1.207239,-7.399321,3.983717,0.784619,hUd,cluster9
196,5.556419,-0.642591,0,-2.286307,-0.817528,-10.657309,-1.092924,-5.895901,2.492421,-0.555988,hud,cluster2
197,2.201437,-1.501688,0,-2.244738,1.181259,-4.059927,-0.808868,-7.456479,4.669609,1.008054,hed,cluster9
198,-2.85442,-6.024073,0,-0.42262,0.789815,-3.859009,-1.915648,-0.271932,-1.870615,1.333679,hid,cluster5
199,-1.058283,-4.042607,0,0.436477,0.732657,-3.607862,-1.434138,-1.674893,-0.315233,1.344071,hId,cluster5
200,1.035766,-4.051267,0,-0.206114,1.134493,-3.26838,0.678964,-1.82385,1.718194,0.914523,hEd,cluster5
201,3.264916,-1.01325,0,0.431281,0.956092,-3.798387,0.753442,-3.699661,2.773013,1.36832,hAd,cluster5
202,2.889061,0.33775,0,0.275396,1.020178,-4.143066,0.859097,-7.101408,4.827226,-0.483242,hYd,cluster9
203,2.376374,-0.363731,0,-0.1351,0.756906,-4.806441,0.628734,-5.104354,2.870008,-0.147224,had,cluster5
204,2.147743,1.226292,0,-1.408157,-0.363731,-5.694983,-0.426084,-5.232525,3.34459,-1.662769,hOd,cluster2
205,1.011518,-0.614878,0,-3.167921,-1.834242,-4.986574,-2.142547,-2.890793,3.794923,-3.119424,hod,cluster2
206,1.10678,-1.539793,0,-0.209578,-0.755174,-5.934006,-2.133887,-4.408069,2.776477,-1.266129,hUd,cluster5
207,-0.176669,-4.397677,0,-0.575041,-1.141421,-7.179351,-3.349786,-1.115441,0.342946,-0.394908,hud,cluster5
208,0.150688,-2.000519,0,-0.419156,-0.169741,-4.328395,-1.200311,-2.397158,1.262665,-0.35507,hed,cluster5
209,-3.027625,-6.185153,0,-0.443405,0.789815,-3.782799,-1.931237,-0.138564,-1.964146,1.274789,hid,cluster5
210,-1.103316,-3.510867,0,0.491902,0.654715,-3.469298,-1.515544,-1.780548,-0.55772,1.278253,hId,cluster5
211,0.860829,-3.474494,0,-0.207846,1.259201,-3.233739,0.299645,-2.121762,1.506884,1.480903,hEd,cluster5
212,3.169653,-1.141421,0,0.046765,1.245345,-3.829564,1.105048,-4.167314,2.788602,1.413353,hAd,cluster5
213,2.294967,0.379319,0,0.001732,0.814064,-4.113621,0.597558,-6.663199,4.302414,-0.658179,hYd,cluster9
