@relation waveform-5000_insig_0.95_clustered

@attribute Instance_number numeric
@attribute attr_1 numeric
@attribute attr_2 numeric
@attribute attr_3 numeric
@attribute attr_4 numeric
@attribute attr_5 numeric
@attribute attr_6 numeric
@attribute attr_7 numeric
@attribute attr_8 numeric
@attribute attr_9 numeric
@attribute attr_10 numeric
@attribute attr_11 numeric
@attribute attr_12 numeric
@attribute attr_13 numeric
@attribute attr_14 numeric
@attribute attr_15 numeric
@attribute attr_16 numeric
@attribute attr_17 numeric
@attribute attr_18 numeric
@attribute attr_19 numeric
@attribute attr_20 numeric
@attribute attr_21 numeric
@attribute attr_22 numeric
@attribute attr_23 numeric
@attribute attr_24 numeric
@attribute attr_25 numeric
@attribute attr_26 numeric
@attribute attr_27 numeric
@attribute attr_28 numeric
@attribute attr_29 numeric
@attribute attr_30 numeric
@attribute attr_31 numeric
@attribute attr_32 numeric
@attribute attr_33 numeric
@attribute attr_34 numeric
@attribute attr_35 numeric
@attribute attr_36 numeric
@attribute attr_37 numeric
@attribute attr_38 numeric
@attribute attr_39 numeric
@attribute Classes {class0,class1,class2}
@attribute Cluster {cluster0,cluster1,cluster2}

@data
10,-0.822695,-1.06351,0.565442,0.196077,-0.203567,0.911258,-0.021668,0.515114,-1.856589,-1.458114,-0.614969,-1.322534,-0.788098,-0.758636,-2.326297,1.302545,0.812352,-0.963035,-0.439746,-0.630442,0.796579,-1.22158,0.942051,0.941065,-0.443351,0.544421,-0.056784,1.178588,-1.174655,-0.464024,-1.411259,-0.218021,2.21292,0.85513,0.447533,0.445336,1.418267,-0.023857,-1.107293,class1,cluster0
11,0.70728,0.751587,0.950262,1.0848,-0.152604,-0.678744,0.883351,-2.448604,-0.774602,-0.178814,0.636018,0.217344,-2.161071,1.767197,-0.297151,-1.101453,0.827195,-0.390967,-1.108106,2.72066,0.994221,-0.130178,-0.555386,0.944488,0.939838,0.65262,-0.682453,-2.151868,-0.066042,-0.606581,-1.268019,0.24467,2.145345,0.800678,-1.188533,-1.933732,1.366749,0.309607,-0.048316,class2,cluster1
12,0.742926,0.276456,-0.806481,0.155642,0.746656,-0.953876,-1.674201,-1.316045,0.04208,-0.545837,0.473854,1.17065,0.622545,0.254275,-0.180506,-0.37827,1.598785,-1.049073,0.253042,-0.570341,0.92113,0.929067,0.598796,0.949098,-0.856273,-0.079722,0.495421,-1.171178,0.086006,0.612917,2.153804,-1.002235,0.529078,2.488312,-0.46281,-0.365407,0.390876,-0.583634,-4.392677,class2,cluster0
13,-0.892502,-1.079057,-0.152115,-2.321894,1.553851,0.308811,-0.651432,1.028241,0.672217,1.142797,-0.497855,-0.223543,-0.677497,-0.072341,-0.41399,-1.245828,-0.506951,-1.231514,-1.863403,-0.200127,-0.28277,-0.384028,1.331473,-0.74994,-0.036474,-2.551233,2.325392,-0.348138,-0.125716,0.240463,0.136767,0.688226,-0.835844,0.984356,-2.334082,-1.555241,0.296978,0.341212,-4.948173,class2,cluster0
14,-0.379489,0.89856,0.87797,0.904305,-0.215975,0.6289,-0.028448,-1.040694,0.74766,1.361093,0.91166,1.106284,-0.897906,0.060661,1.043227,-0.106851,0.051934,-0.151217,0.509106,0.087091,-0.260668,-0.563217,-0.446497,1.317267,1.023669,-1.15541,0.121425,-0.783857,1.727487,0.061065,0.886475,0.066666,-0.314158,-0.042299,0.000665,0.301977,0.978263,-0.394634,0.78552,class2,cluster2
15,0.352944,-0.562575,-0.163823,-1.207941,-0.821626,-1.278203,0.500371,-0.275308,0.608787,-1.052216,-0.547422,-0.467112,-0.525258,0.890398,0.044355,-1.510626,-0.95806,0.159529,-1.086378,-0.064467,-1.786018,1.085776,-1.312265,0.186244,-0.92119,-1.034744,-0.340471,-0.642995,-0.629256,0.715294,0.010787,-0.243558,0.066761,0.230958,-0.315561,1.366711,1.30961,1.656417,-2.08419,class2,cluster0
16,0.216654,-2.183908,1.518683,2.414288,0.30198,-0.800416,2.07484,0.122221,1.12922,-0.426009,-0.531578,0.786763,0.986607,0.292688,0.625986,0.333039,0.920734,-0.174339,0.100436,0.804987,-0.714292,0.633668,-2.982015,0.568959,-0.350683,-0.374499,-0.135158,1.269124,-0.501771,-0.02228,-0.467105,-0.243854,0.711461,-0.149708,0.998289,0.861454,0.585033,0.768606,-2.251513,class2,cluster0
17,0.490664,0.900098,0.42648,-0.266572,0.939977,0.48518,-0.581337,0.337941,0.675222,0.789878,1.619416,-1.20003,-1.331537,0.647107,-0.409961,-1.012588,-0.23906,0.208396,-0.266245,2.415084,-0.015839,0.592577,-0.495986,2.184312,-0.849695,-0.111756,-0.670662,-0.61783,0.371673,1.89552,0.515337,1.458217,0.130561,-0.455299,-2.101325,-0.982963,-0.061293,-1.16381,-0.664426,class2,cluster2
18,-0.152763,-1.253286,0.529322,1.050715,0.368836,1.410296,1.245036,1.378935,-0.457584,1.270179,0.311164,1.08182,-2.368471,0.005066,-0.149294,0.08585,1.125577,-0.503663,0.354648,0.310254,1.892222,2.156023,-1.660891,-0.578304,1.386338,-1.04077,0.676815,0.315948,-1.770654,-0.440754,0.884371,-0.48738,0.401387,-1.112661,1.855818,-2.023746,0.61524,1.752994,-1.451388,class1,cluster0
19,-0.274646,0.327007,0.37077,0.606187,-0.415332,-1.349226,-0.033234,-0.319424,-1.624798,-0.620616,1.133403,0.080998,-0.26012,1.181866,-0.362668,-0.492542,0.879218,0.46684,-1.190282,-0.796063,-0.194311,-0.986943,-0.301664,0.062706,0.073737,1.564897,0.606526,-1.785051,-0.294261,1.595676,0.689261,0.146316,0.987032,-1.069522,-1.175831,-0.712003,0.763174,-0.28221,1.262451,class0,cluster1
20,1.643931,-1.732002,-0.128947,-0.435874,1.137277,-0.753933,0.332478,0.288085,1.4361,-0.529185,-0.038537,-2.31998,1.285494,-2.005781,0.337441,-0.341735,-1.608928,-0.756975,-0.532764,0.659577,-1.723795,-0.426167,-1.334064,-0.122383,-1.197129,-0.862839,-0.875718,-1.609997,-0.117973,1.806123,-0.725999,-1.104349,-0.813611,1.175541,0.330589,-1.857694,0.540713,-0.490296,-4.830828,class2,cluster0
21,0.156613,0.32368,-0.96954,0.983469,-0.367108,-0.228552,-0.442464,-1.304565,0.051076,0.936785,0.171558,0.440854,0.226263,0.43656,1.214457,-0.29526,0.682194,0.586454,-0.357024,-2.115203,0.064877,0.06185,2.42643,-0.403463,0.473129,1.959525,-0.378552,-1.73605,-1.381056,0.316683,0.345973,-0.174386,-0.392622,1.244422,-0.951131,0.784433,-0.302697,-0.885564,2.568969,class0,cluster1
22,-0.271254,-0.101872,1.250731,0.854101,0.726598,-0.635356,0.489283,0.842029,-0.222814,-1.209358,0.337141,0.881659,0.97585,-1.21705,-0.372694,-0.59462,0.022937,0.258916,0.983175,0.120591,0.230942,0.564271,-0.622258,-0.810067,-1.439534,-0.643227,2.379398,0.018667,-0.306314,0.03583,-0.069828,1.227417,0.025796,1.2517,0.108622,1.938258,1.223555,0.900386,2.710026,class0,cluster1
23,0.610138,-0.373462,0.401762,-1.49541,0.245023,-0.321677,-0.006986,0.388718,1.014056,-0.063007,-0.331319,0.770715,0.971241,0.947862,-0.469327,1.300473,-0.42015,0.98203,-1.238759,0.988138,0.940948,-1.062949,-1.421998,0.36267,-1.190721,-0.821834,0.729964,-1.006765,0.477053,-0.214161,0.282262,-1.173079,-0.18986,-1.280592,-2.440424,0.802863,-1.2651,2.085267,-2.307743,class2,cluster0
24,-0.964013,-0.382353,-1.010945,-0.0087,-0.12185,-0.603241,0.098041,-0.590965,0.356266,0.524669,0.326329,-0.152163,0.111846,-1.055699,-0.267325,0.771716,-0.176484,1.052394,0.786152,-1.24357,-1.088553,1.826452,1.852707,-0.465196,0.972218,0.973745,-0.855361,-0.214049,-0.754675,-0.527047,0.746668,-1.347793,1.82414,1.618562,0.821083,-2.02372,0.872182,0.63669,2.821426,class1,cluster1
25,-0.083416,0.756384,-0.616387,-0.808697,0.114276,-0.893441,-0.847021,1.025626,0.704763,0.411122,0.962198,-0.910495,0.913747,1.421378,-1.805208,0.063004,-0.226594,0.743896,1.906588,-0.703677,-0.37005,1.021284,-2.469359,0.582531,0.281874,1.011317,0.118986,-0.674292,-0.151418,-0.426025,0.083095,1.014015,1.963542,-0.298953,1.660612,-0.251476,0.699734,0.700846,-1.157608,class1,cluster1
26,0.932216,0.928011,-0.137944,1.327676,-0.132754,-0.479511,1.110597,-0.095813,0.587326,-0.867053,-0.081894,0.104611,1.610561,0.929799,-2.118127,0.716344,1.280242,-0.937668,-1.107408,0.971343,-0.162724,-1.394106,-2.059538,0.691055,-0.610462,0.484233,-0.001618,0.829744,0.294691,-1.007973,-1.297892,-0.059616,-1.56197,0.475006,-0.795,-1.526243,-1.238616,-0.724283,-3.911201,class2,cluster0
27,-0.58762,0.375308,-0.829426,1.275517,-1.75096,1.386454,-0.600978,-0.226858,-1.824098,0.490546,1.295714,-1.775605,-0.184071,-0.565185,0.985307,0.205428,-0.711221,0.208768,-1.490266,-0.448893,-1.128601,-0.583221,-0.70465,0.899675,-0.340488,-0.054584,-1.651663,0.785978,-0.093746,-0.983268,-1.527571,-1.141409,0.44756,0.455846,-1.704953,1.269267,-0.423743,0.059404,2.891362,class0,cluster2
28,0.316902,-2.613974,0.386036,1.081587,-1.382945,-1.282802,0.482133,-0.663774,-0.798797,-1.676545,0.586562,0.605612,-0.559156,-0.285908,0.470277,-0.873332,1.653137,1.955346,-0.524292,-0.969718,0.555979,0.770032,-0.588017,-0.2339,0.523429,-0.469832,-0.95563,-0.276224,0.407327,-1.134058,0.688856,1.159578,1.621936,-1.080084,1.067943,0.288153,-1.483108,0.449993,3.353366,class0,cluster1
29,-1.756494,0.692389,1.344991,0.078815,-0.888915,-0.054051,-0.262289,0.609801,0.099306,0.235189,1.952755,-0.013336,-1.19518,-0.789183,-0.093688,1.131319,0.208559,1.44628,-1.416973,0.923549,0.117299,-0.92576,-0.677091,-1.00787,-0.25052,0.866517,0.892601,-1.065119,0.451384,-0.761299,0.882662,0.821337,-1.964897,1.055786,1.262525,-0.916686,-4.278954,0.039623,3.623653,class0,cluster1
30,-1.071073,0.433812,-0.36178,1.591605,0.816548,-0.661236,-0.210707,-1.234029,-1.264843,1.179416,-1.186041,0.237679,0.041786,-0.302056,-0.51017,0.861758,1.378749,0.318158,-0.723362,1.095653,1.014483,0.100026,-0.791673,0.265285,2.090972,1.382028,0.093118,0.493825,-0.008432,0.922661,1.471361,0.357592,-0.140493,-0.321845,-0.462135,-1.840027,-1.421914,0.228763,1.248429,class2,cluster1
31,0.776514,-0.152028,0.297456,0.670574,0.009002,1.4216,-0.340035,-0.366966,1.839389,-0.237902,-0.921342,-2.010576,-0.466737,1.247668,-1.177555,-0.797554,1.361227,-0.04564,-0.140998,-1.840228,-0.852627,-0.167537,2.144919,-0.51175,0.399638,-0.505056,0.593169,-0.487861,-0.326208,0.484397,-0.172428,0.59212,-0.231201,-1.16015,-2.076688,-0.531287,-1.554976,1.542709,-3.144168,class1,cluster0
32,-0.680781,0.927976,1.55868,0.247786,0.243267,2.015516,0.180561,-0.221686,1.271038,0.590803,0.78188,-2.001229,-0.129102,-0.548433,1.269334,-0.362657,0.197987,0.27584,0.728544,-0.297678,-0.825083,-0.240707,0.25497,1.502094,-0.418734,-0.422945,-0.328245,-0.843838,0.361288,-1.882147,-0.743426,-1.32444,0.046852,0.989124,0.745563,0.931229,0.782251,1.41873,0.061019,class2,cluster2
33,0.804351,0.453496,-1.076043,0.821647,0.266353,-0.413196,0.418134,-0.024825,0.036445,-0.376299,-0.654804,0.712964,-2.925934,0.190247,-1.32472,0.794064,1.473952,-0.854675,-0.774261,-0.447921,-0.892658,1.080413,0.065494,0.57192,-0.482883,-0.102983,-1.577218,1.130215,-0.919204,2.017005,-0.827139,-0.945491,0.445994,-0.55089,1.106806,-1.75522,0.627599,-0.40675,1.45124,class0,cluster1
34,-0.81658,0.114671,0.418628,0.647091,-0.081934,-0.724809,-0.901926,0.263975,1.39601,0.946006,0.670884,-0.65043,-1.885206,0.085398,0.342825,-1.830467,-0.425692,-0.569875,1.68497,-1.2848,1.502863,0.101181,0.981759,0.938728,0.585158,-1.975437,1.080101,-0.670963,-1.259891,-1.579658,0.491438,1.9973,-1.285476,-2.070714,-0.964894,0.614463,0.816966,-0.501101,-2.912368,class2,cluster0
35,0.642243,-0.597894,0.046957,1.061983,-1.149259,-0.708523,0.191624,-0.658763,-1.013899,0.889522,-0.190381,0.890983,-0.051864,-1.609662,1.692311,1.3275,0.915554,-0.267867,-0.704476,-1.127644,-1.601904,-0.171727,1.856088,2.290106,2.172159,1.141247,0.806968,1.04728,-0.125285,0.364998,-0.098504,1.449641,0.340892,-0.788874,0.47387,0.486372,1.417965,0.376602,3.556925,class0,cluster1
36,-0.647632,-0.003798,-0.601754,0.767398,-0.521679,-1.210479,0.720906,-0.06617,-0.330552,-0.509282,1.218147,-2.285567,-0.5612,1.912566,1.490261,-2.229477,-1.161975,0.260087,0.727592,0.846622,-0.061424,-0.128409,1.516838,0.851617,-0.504709,-0.021219,-1.139465,-1.354487,0.597091,0.241322,-0.495938,-0.596703,-0.781001,-1.669275,-0.818527,1.166028,0.155246,-0.340098,-0.466006,class1,cluster2
37,-0.375287,0.638472,0.018183,-1.078279,0.528267,-1.408261,0.770613,1.214404,0.196204,-0.112686,-0.700709,0.038922,-0.151977,1.009368,1.621363,1.044029,-0.561297,-0.36688,-0.44438,1.000654,-1.110959,-1.73457,-0.835616,0.927783,-1.198213,-0.820805,1.814034,0.083636,-0.68623,0.429113,-0.651292,0.817156,-2.140524,1.089636,0.328415,0.320231,1.65181,-0.965773,2.70105,class0,cluster1
38,0.197904,1.091111,0.349082,-1.431937,0.040506,-0.029581,-0.428092,-0.936597,1.045977,0.667409,-0.809846,-0.445927,0.391564,-1.120158,0.165087,1.018234,1.806362,-1.04341,0.266112,0.438036,-0.150686,-0.316027,-0.199956,1.304996,0.366029,-0.77272,0.429259,-0.761834,-0.711503,-0.297597,-1.105536,-0.32458,-1.060494,-2.012492,0.44593,0.046577,-0.382604,-0.583261,-0.560315,class1,cluster2
39,0.15635,-0.427182,-0.359161,-0.451714,0.393605,1.062169,1.551149,-0.600983,0.153703,2.744501,-1.887949,0.888156,0.808247,-0.133724,1.798616,-1.727165,-0.793749,0.651775,-0.141106,-0.817663,-0.174558,0.917712,0.656799,0.394411,0.473401,-0.7202,1.277847,-1.007413,-0.241882,-0.328703,0.736772,-0.468284,-0.055688,-0.946341,-0.110174,0.420226,-2.739523,-0.118377,3.893964,class0,cluster2
40,-1.000853,-0.295289,3.118455,-1.16827,-0.72468,0.35866,0.726223,0.47343,0.557025,1.393817,-0.213285,1.060162,0.949194,2.061724,1.051026,1.155672,0.281746,-1.161078,-1.126109,-1.281097,0.867395,1.200334,1.994635,-0.76133,0.163069,-1.70063,-1.179757,-1.45731,-1.889688,1.971371,0.11855,1.23225,-0.501497,-0.994203,-0.595591,-0.582994,0.691163,-0.191781,-4.321098,class1,cluster0
41,0.350804,0.656036,-0.954422,-0.007528,-0.671463,0.997259,1.113499,0.002559,0.115585,0.526668,-0.891392,-0.626649,-1.174601,-0.37281,-0.381754,0.284831,-0.41664,-0.068998,-0.679522,1.118557,-0.027389,-1.633738,-0.131316,0.58899,0.026813,0.376553,1.107504,0.391166,0.516655,0.779118,0.478188,0.889714,1.535618,0.371105,-0.575736,-2.301435,-1.782171,0.088091,2.182248,class0,cluster2
42,-0.830961,0.476468,-0.757663,-1.356434,-0.421587,0.576738,0.176676,0.343983,0.33651,-0.913281,-0.043252,-0.200797,-1.406474,-0.302968,-0.28633,-1.839075,0.540403,0.036883,-2.896967,-1.297632,0.56491,-0.339504,-0.655129,2.107936,-1.480921,2.020881,0.275032,-0.431364,0.637912,0.222154,1.391743,-1.011721,2.122668,1.36842,-0.44393,-0.186521,-0.396441,-2.735751,-0.888915,class2,cluster2
43,0.454576,0.468189,-0.275187,-0.031943,-0.770071,0.99114,0.901031,0.509673,2.881336,-0.006446,0.808716,1.526781,1.019147,-0.694393,-0.32668,-0.839719,1.683164,0.130322,-2.34691,2.087412,0.742879,-0.632803,2.247336,-0.020081,0.923737,-0.005176,-2.987112,0.964828,0.634936,-0.598889,1.46845,-1.347846,0.342834,-0.266365,0.059947,0.088831,-1.214907,-0.023956,-4.540111,class2,cluster0
44,-0.134475,0.204706,0.869743,0.309729,0.12666,0.698775,-0.489803,0.820631,1.074252,-1.298214,0.912957,-0.429138,0.552086,-0.69681,-0.139678,0.05186,-0.966567,-0.245859,-1.570265,-0.542632,-0.154552,-1.232761,-0.789313,0.023305,1.314232,2.31331,0.656994,0.550843,-0.220325,-0.925382,0.38534,0.000301,0.625549,-0.729539,0.048921,-2.010685,0.133453,-0.144161,-0.879698,class1,cluster0
45,-0.423121,0.532021,0.068852,1.345007,0.445979,-0.172882,-1.814635,-0.567894,0.221488,0.711115,-1.037906,1.024577,-0.398836,0.943593,1.220522,-1.98718,-0.40696,-0.663973,-1.48064,-0.922276,0.729417,0.671338,0.228076,-0.468546,-0.666325,-0.226901,-0.081861,-0.957234,1.225822,0.95292,-0.825818,-0.185321,1.189759,-0.915046,-0.353106,1.076497,0.392529,-0.855475,3.356079,class0,cluster2
46,1.275419,-1.534382,-0.686714,1.075478,-0.773951,-1.164637,1.114673,-0.388104,-0.400995,1.565537,0.365929,-0.597099,-0.431548,1.453331,-0.588312,-2.101891,-2.079481,-0.94185,0.440964,-2.00719,0.314467,-0.116893,-0.408961,-1.35584,-0.563775,0.135626,1.396609,-0.768894,-0.092913,1.755258,-3.591055,0.938638,1.204627,-1.77265,1.204332,-2.036574,-1.986318,-0.659942,1.41609,class2,cluster1
47,1.183809,0.889994,0.157548,-1.102326,1.160907,0.142824,0.17899,-0.055378,-0.981066,0.262788,-0.665134,-0.916018,0.818705,-0.838255,-0.56876,0.317759,0.258709,-1.280702,1.618822,-0.115928,0.337766,-1.291895,0.186205,-1.162813,-1.666944,-1.73666,-0.346048,0.698487,-0.628367,0.09516,-0.174062,0.322446,0.647696,0.065113,1.12044,1.781872,1.51532,-0.557815,-4.453923,class1,cluster0
48,-0.332067,-1.42217,0.370114,0.841716,0.274553,0.423516,-0.002402,0.125505,0.433725,-0.429024,1.181051,-0.054725,-0.700377,0.466013,1.368662,-0.561281,0.798729,-0.985665,-0.309244,1.013919,1.893327,-0.574091,-0.52234,-1.365977,0.190517,-0.359451,-0.218072,0.158072,-0.146413,-0.46935,-0.806044,-1.471677,-0.469555,-1.324015,-0.604704,-0.755157,-1.378236,-1.290558,-5.36028,class1,cluster0
49,-2.284067,0.233212,-1.692225,0.711622,0.697373,-0.646443,-0.737629,-0.971173,-0.68096,-0.388164,1.409604,-0.074571,0.740647,1.374855,0.180667,0.011257,-0.874984,0.481169,0.608896,-0.10556,0.430406,-1.59558,1.764657,-0.105915,-1.883346,1.246056,0.918462,-0.785901,0.931043,0.842786,2.277424,0.088351,-0.532577,-0.430653,1.021703,-0.24586,0.232426,-1.568867,-4.656491,class1,cluster0
50,0.381484,0.200409,-0.377416,0.019982,1.110008,-0.185851,0.443845,1.87207,0.441794,-0.685458,1.151802,-1.102705,-0.003029,-0.642484,-2.358794,0.149731,1.376959,1.163863,-0.496437,-2.491646,-0.701897,0.770951,-0.796591,0.448828,1.562056,-0.518558,1.550631,0.000464,0.996003,0.040711,1.149374,-0.058657,-1.196725,-0.198368,1.293453,-2.111741,-1.271879,0.913922,-1.256636,class2,cluster0
51,0.012501,1.446781,-0.352812,-0.094423,-0.748821,0.628348,0.445743,0.175352,-0.194199,-0.049864,1.029433,-0.509283,-0.673868,0.022451,-1.146323,-1.524307,-0.002567,-2.153831,1.488461,-0.189174,0.285608,-0.905651,-1.443493,1.457835,-0.80423,-0.071272,-0.472121,0.149265,0.773264,0.148007,-2.057133,-1.591699,-1.05851,-1.160754,0.584687,0.673723,-1.423278,0.363107,2.397104,class0,cluster2
52,0.051808,-0.881158,0.686266,-1.440676,-1.357273,-0.976307,0.429739,-0.615142,0.818341,-0.285187,-0.573195,-0.69466,0.16719,-0.887765,-0.069745,-1.263026,-0.051781,-0.248084,0.659821,1.73811,-1.005566,0.286984,-0.131136,-1.495011,0.516982,0.751407,-1.603817,0.834887,0.343163,-0.199693,0.004831,1.057728,1.203322,0.456148,1.3012,-0.195755,-0.411451,0.712748,2.024841,class0,cluster1
53,-0.231812,1.351232,-0.403677,-0.820265,0.825062,-0.876827,0.436058,-0.520041,-1.508757,-2.381582,-0.877106,1.876617,1.724,0.806703,-0.820537,2.025401,-1.716392,1.004876,-0.908178,1.528874,1.466454,-1.403336,-0.007742,1.128842,1.592689,-0.937817,1.237537,-0.917888,-1.194651,-0.593308,-0.425815,0.385574,-0.552231,-0.89258,-0.251847,-1.155043,-0.558192,1.740381,0.717308,class0,cluster1
54,0.212043,1.306931,0.748212,1.096438,-0.304732,-0.977758,-1.080287,-0.749753,0.387982,0.585167,2.397346,0.197808,-1.935263,-0.476934,0.744445,-0.71559,-1.482402,1.16091,1.175828,0.836247,-1.123809,-0.255239,-1.354678,-0.503238,-0.31138,-0.26239,1.050118,-0.194442,0.546022,0.488945,-0.797549,0.698664,-1.167441,1.515184,0.339242,-0.217437,-0.166654,-0.225836,-5.65395,class1,cluster0
55,-1.044213,-0.133248,-1.356468,0.566623,-0.457331,0.020692,0.393914,0.299642,0.265288,0.472629,0.440136,-0.70138,-1.096973,0.796272,0.843511,-0.209405,1.237782,1.236691,-0.165332,-0.29191,-1.227257,1.214749,-0.593699,0.143353,-0.267606,-1.505933,-0.338425,-2.171655,0.375884,1.036324,0.663537,0.518463,-1.444057,-0.10134,0.439152,0.825481,0.761754,-0.205627,0.080461,class2,cluster2
