@relation waveform-5000_pca_0.95_clustered

@attribute Instance_number numeric
@attribute attr_1 numeric
@attribute attr_2 numeric
@attribute attr_3 numeric
@attribute attr_4 numeric
@attribute attr_5 numeric
@attribute attr_6 numeric
@attribute attr_7 numeric
@attribute attr_8 numeric
@attribute attr_9 numeric
@attribute attr_10 numeric
@attribute attr_11 numeric
@attribute attr_12 numeric
@attribute attr_13 numeric
@attribute attr_14 numeric
@attribute attr_15 numeric
@attribute attr_16 numeric
@attribute attr_17 numeric
@attribute attr_18 numeric
@attribute attr_19 numeric
@attribute attr_20 numeric
@attribute attr_21 numeric
@attribute attr_22 numeric
@attribute attr_23 numeric
@attribute attr_24 numeric
@attribute attr_25 numeric
@attribute attr_26 numeric
@attribute attr_27 numeric
@attribute attr_28 numeric
@attribute attr_29 numeric
@attribute attr_30 numeric
@attribute attr_31 numeric
@attribute attr_32 numeric
@attribute attr_33 numeric
@attribute attr_34 numeric
@attribute attr_35 numeric
@attribute Classes {class0,class1,class2}
@attribute Cluster {cluster0,cluster1,cluster2}

@data
21,1.527325,2.568969,-0.885564,-0.302697,0.784433,-0.951131,1.244422,-0.392622,-0.174386,0.345973,0.316683,-1.381056,-1.73605,-0.378552,1.959525,0.473129,-0.403463,2.42643,0.06185,0.064877,-2.115203,-0.357024,0.586454,0.682194,-0.29526,1.214457,0.43656,0.226263,0.440854,0.171558,0.936785,0.051076,-1.304565,-0.442464,-0.228552,class0,cluster2
22,-3.641102,2.710026,0.900386,1.223555,1.938258,0.108622,1.2517,0.025796,1.227417,-0.069828,0.03583,-0.306314,0.018667,2.379398,-0.643227,-1.439534,-0.810067,-0.622258,0.564271,0.230942,0.120591,0.983175,0.258916,0.022937,-0.59462,-0.372694,-1.21705,0.97585,0.881659,0.337141,-1.209358,-0.222814,0.842029,0.489283,-0.635356,class0,cluster2
23,5.782363,-2.307743,2.085267,-1.2651,0.802863,-2.440424,-1.280592,-0.18986,-1.173079,0.282262,-0.214161,0.477053,-1.006765,0.729964,-0.821834,-1.190721,0.36267,-1.421998,-1.062949,0.940948,0.988138,-1.238759,0.98203,-0.42015,1.300473,-0.469327,0.947862,0.971241,0.770715,-0.331319,-0.063007,1.014056,0.388718,-0.006986,-0.321677,class2,cluster1
24,-7.889498,2.821426,0.63669,0.872182,-2.02372,0.821083,1.618562,1.82414,-1.347793,0.746668,-0.527047,-0.754675,-0.214049,-0.855361,0.973745,0.972218,-0.465196,1.852707,1.826452,-1.088553,-1.24357,0.786152,1.052394,-0.176484,0.771716,-0.267325,-1.055699,0.111846,-0.152163,0.326329,0.524669,0.356266,-0.590965,0.098041,-0.603241,class1,cluster0
25,-4.776288,-1.157608,0.700846,0.699734,-0.251476,1.660612,-0.298953,1.963542,1.014015,0.083095,-0.426025,-0.151418,-0.674292,0.118986,1.011317,0.281874,0.582531,-2.469359,1.021284,-0.37005,-0.703677,1.906588,0.743896,-0.226594,0.063004,-1.805208,1.421378,0.913747,-0.910495,0.962198,0.411122,0.704763,1.025626,-0.847021,-0.893441,class1,cluster0
26,1.790722,-3.911201,-0.724283,-1.238616,-1.526243,-0.795,0.475006,-1.56197,-0.059616,-1.297892,-1.007973,0.294691,0.829744,-0.001618,0.484233,-0.610462,0.691055,-2.059538,-1.394106,-0.162724,0.971343,-1.107408,-0.937668,1.280242,0.716344,-2.118127,0.929799,1.610561,0.104611,-0.081894,-0.867053,0.587326,-0.095813,1.110597,-0.479511,class2,cluster1
27,-6.190249,2.891362,0.059404,-0.423743,1.269267,-1.704953,0.455846,0.44756,-1.141409,-1.527571,-0.983268,-0.093746,0.785978,-1.651663,-0.054584,-0.340488,0.899675,-0.70465,-0.583221,-1.128601,-0.448893,-1.490266,0.208768,-0.711221,0.205428,0.985307,-0.565185,-0.184071,-1.775605,1.295714,0.490546,-1.824098,-0.226858,-0.600978,1.386454,class0,cluster2
28,-0.004898,3.353366,0.449993,-1.483108,0.288153,1.067943,-1.080084,1.621936,1.159578,0.688856,-1.134058,0.407327,-0.276224,-0.95563,-0.469832,0.523429,-0.2339,-0.588017,0.770032,0.555979,-0.969718,-0.524292,1.955346,1.653137,-0.873332,0.470277,-0.285908,-0.559156,0.605612,0.586562,-1.676545,-0.798797,-0.663774,0.482133,-1.282802,class0,cluster2
29,1.025779,3.623653,0.039623,-4.278954,-0.916686,1.262525,1.055786,-1.964897,0.821337,0.882662,-0.761299,0.451384,-1.065119,0.892601,0.866517,-0.25052,-1.00787,-0.677091,-0.92576,0.117299,0.923549,-1.416973,1.44628,0.208559,1.131319,-0.093688,-0.789183,-1.19518,-0.013336,1.952755,0.235189,0.099306,0.609801,-0.262289,-0.054051,class0,cluster2
30,7.138959,1.248429,0.228763,-1.421914,-1.840027,-0.462135,-0.321845,-0.140493,0.357592,1.471361,0.922661,-0.008432,0.493825,0.093118,1.382028,2.090972,0.265285,-0.791673,0.100026,1.014483,1.095653,-0.723362,0.318158,1.378749,0.861758,-0.51017,-0.302056,0.041786,0.237679,-1.186041,1.179416,-1.264843,-1.234029,-0.210707,-0.661236,class2,cluster1
31,-3.648636,-3.144168,1.542709,-1.554976,-0.531287,-2.076688,-1.16015,-0.231201,0.59212,-0.172428,0.484397,-0.326208,-0.487861,0.593169,-0.505056,0.399638,-0.51175,2.144919,-0.167537,-0.852627,-1.840228,-0.140998,-0.04564,1.361227,-0.797554,-1.177555,1.247668,-0.466737,-2.010576,-0.921342,-0.237902,1.839389,-0.366966,-0.340035,1.4216,class1,cluster0
32,3.662109,0.061019,1.41873,0.782251,0.931229,0.745563,0.989124,0.046852,-1.32444,-0.743426,-1.882147,0.361288,-0.843838,-0.328245,-0.422945,-0.418734,1.502094,0.25497,-0.240707,-0.825083,-0.297678,0.728544,0.27584,0.197987,-0.362657,1.269334,-0.548433,-0.129102,-2.001229,0.78188,0.590803,1.271038,-0.221686,0.180561,2.015516,class2,cluster1
33,3.809142,1.45124,-0.40675,0.627599,-1.75522,1.106806,-0.55089,0.445994,-0.945491,-0.827139,2.017005,-0.919204,1.130215,-1.577218,-0.102983,-0.482883,0.57192,0.065494,1.080413,-0.892658,-0.447921,-0.774261,-0.854675,1.473952,0.794064,-1.32472,0.190247,-2.925934,0.712964,-0.654804,-0.376299,0.036445,-0.024825,0.418134,-0.413196,class0,cluster2
34,3.600968,-2.912368,-0.501101,0.816966,0.614463,-0.964894,-2.070714,-1.285476,1.9973,0.491438,-1.579658,-1.259891,-0.670963,1.080101,-1.975437,0.585158,0.938728,0.981759,0.101181,1.502863,-1.2848,1.68497,-0.569875,-0.425692,-1.830467,0.342825,0.085398,-1.885206,-0.65043,0.670884,0.946006,1.39601,0.263975,-0.901926,-0.724809,class2,cluster1
35,7.260304,3.556925,0.376602,1.417965,0.486372,0.47387,-0.788874,0.340892,1.449641,-0.098504,0.364998,-0.125285,1.04728,0.806968,1.141247,2.172159,2.290106,1.856088,-0.171727,-1.601904,-1.127644,-0.704476,-0.267867,0.915554,1.3275,1.692311,-1.609662,-0.051864,0.890983,-0.190381,0.889522,-1.013899,-0.658763,0.191624,-0.708523,class0,cluster2
36,-5.73471,-0.466006,-0.340098,0.155246,1.166028,-0.818527,-1.669275,-0.781001,-0.596703,-0.495938,0.241322,0.597091,-1.354487,-1.139465,-0.021219,-0.504709,0.851617,1.516838,-0.128409,-0.061424,0.846622,0.727592,0.260087,-1.161975,-2.229477,1.490261,1.912566,-0.5612,-2.285567,1.218147,-0.509282,-0.330552,-0.06617,0.720906,-1.210479,class1,cluster0
37,1.955113,2.70105,-0.965773,1.65181,0.320231,0.328415,1.089636,-2.140524,0.817156,-0.651292,0.429113,-0.68623,0.083636,1.814034,-0.820805,-1.198213,0.927783,-0.835616,-1.73457,-1.110959,1.000654,-0.44438,-0.36688,-0.561297,1.044029,1.621363,1.009368,-0.151977,0.038922,-0.700709,-0.112686,0.196204,1.214404,0.770613,-1.408261,class0,cluster2
38,-4.362721,-0.560315,-0.583261,-0.382604,0.046577,0.44593,-2.012492,-1.060494,-0.32458,-1.105536,-0.297597,-0.711503,-0.761834,0.429259,-0.77272,0.366029,1.304996,-0.199956,-0.316027,-0.150686,0.438036,0.266112,-1.04341,1.806362,1.018234,0.165087,-1.120158,0.391564,-0.445927,-0.809846,0.667409,1.045977,-0.936597,-0.428092,-0.029581,class1,cluster0
39,-0.24617,3.893964,-0.118377,-2.739523,0.420226,-0.110174,-0.946341,-0.055688,-0.468284,0.736772,-0.328703,-0.241882,-1.007413,1.277847,-0.7202,0.473401,0.394411,0.656799,0.917712,-0.174558,-0.817663,-0.141106,0.651775,-0.793749,-1.727165,1.798616,-0.133724,0.808247,0.888156,-1.887949,2.744501,0.153703,-0.600983,1.551149,1.062169,class0,cluster2
40,-2.441532,-4.321098,-0.191781,0.691163,-0.582994,-0.595591,-0.994203,-0.501497,1.23225,0.11855,1.971371,-1.889688,-1.45731,-1.179757,-1.70063,0.163069,-0.76133,1.994635,1.200334,0.867395,-1.281097,-1.126109,-1.161078,0.281746,1.155672,1.051026,2.061724,0.949194,1.060162,-0.213285,1.393817,0.557025,0.47343,0.726223,0.35866,class1,cluster0
41,1.240898,2.182248,0.088091,-1.782171,-2.301435,-0.575736,0.371105,1.535618,0.889714,0.478188,0.779118,0.516655,0.391166,1.107504,0.376553,0.026813,0.58899,-0.131316,-1.633738,-0.027389,1.118557,-0.679522,-0.068998,-0.41664,0.284831,-0.381754,-0.37281,-1.174601,-0.626649,-0.891392,0.526668,0.115585,0.002559,1.113499,0.997259,class0,cluster2
42,4.507119,-0.888915,-2.735751,-0.396441,-0.186521,-0.44393,1.36842,2.122668,-1.011721,1.391743,0.222154,0.637912,-0.431364,0.275032,2.020881,-1.480921,2.107936,-0.655129,-0.339504,0.56491,-1.297632,-2.896967,0.036883,0.540403,-1.839075,-0.28633,-0.302968,-1.406474,-0.200797,-0.043252,-0.913281,0.33651,0.343983,0.176676,0.576738,class2,cluster1
43,-0.044533,-4.540111,-0.023956,-1.214907,0.088831,0.059947,-0.266365,0.342834,-1.347846,1.46845,-0.598889,0.634936,0.964828,-2.987112,-0.005176,0.923737,-0.020081,2.247336,-0.632803,0.742879,2.087412,-2.34691,0.130322,1.683164,-0.839719,-0.32668,-0.694393,1.019147,1.526781,0.808716,-0.006446,2.881336,0.509673,0.901031,0.99114,class2,cluster1
44,-5.460402,-0.879698,-0.144161,0.133453,-2.010685,0.048921,-0.729539,0.625549,0.000301,0.38534,-0.925382,-0.220325,0.550843,0.656994,2.31331,1.314232,0.023305,-0.789313,-1.232761,-0.154552,-0.542632,-1.570265,-0.245859,-0.966567,0.05186,-0.139678,-0.69681,0.552086,-0.429138,0.912957,-1.298214,1.074252,0.820631,-0.489803,0.698775,class1,cluster0
45,4.944348,3.356079,-0.855475,0.392529,1.076497,-0.353106,-0.915046,1.189759,-0.185321,-0.825818,0.95292,1.225822,-0.957234,-0.081861,-0.226901,-0.666325,-0.468546,0.228076,0.671338,0.729417,-0.922276,-1.48064,-0.663973,-0.40696,-1.98718,1.220522,0.943593,-0.398836,1.024577,-1.037906,0.711115,0.221488,-0.567894,-1.814635,-0.172882,class0,cluster2
46,9.062612,1.41609,-0.659942,-1.986318,-2.036574,1.204332,-1.77265,1.204627,0.938638,-3.591055,1.755258,-0.092913,-0.768894,1.396609,0.135626,-0.563775,-1.35584,-0.408961,-0.116893,0.314467,-2.00719,0.440964,-0.94185,-2.079481,-2.101891,-0.588312,1.453331,-0.431548,-0.597099,0.365929,1.565537,-0.400995,-0.388104,1.114673,-1.164637,class2,cluster1
47,-2.695171,-4.453923,-0.557815,1.51532,1.781872,1.12044,0.065113,0.647696,0.322446,-0.174062,0.09516,-0.628367,0.698487,-0.346048,-1.73666,-1.666944,-1.162813,0.186205,-1.291895,0.337766,-0.115928,1.618822,-1.280702,0.258709,0.317759,-0.56876,-0.838255,0.818705,-0.916018,-0.665134,0.262788,-0.981066,-0.055378,0.17899,0.142824,class1,cluster0
48,-2.767067,-5.36028,-1.290558,-1.378236,-0.755157,-0.604704,-1.324015,-0.469555,-1.471677,-0.806044,-0.46935,-0.146413,0.158072,-0.218072,-0.359451,0.190517,-1.365977,-0.52234,-0.574091,1.893327,1.013919,-0.309244,-0.985665,0.798729,-0.561281,1.368662,0.466013,-0.700377,-0.054725,1.181051,-0.429024,0.433725,0.125505,-0.002402,0.423516,class1,cluster0
49,0.452526,-4.656491,-1.568867,0.232426,-0.24586,1.021703,-0.430653,-0.532577,0.088351,2.277424,0.842786,0.931043,-0.785901,0.918462,1.246056,-1.883346,-0.105915,1.764657,-1.59558,0.430406,-0.10556,0.608896,0.481169,-0.874984,0.011257,0.180667,1.374855,0.740647,-0.074571,1.409604,-0.388164,-0.68096,-0.971173,-0.737629,-0.646443,class1,cluster0
50,5.400184,-1.256636,0.913922,-1.271879,-2.111741,1.293453,-0.198368,-1.196725,-0.058657,1.149374,0.040711,0.996003,0.000464,1.550631,-0.518558,1.562056,0.448828,-0.796591,0.770951,-0.701897,-2.491646,-0.496437,1.163863,1.376959,0.149731,-2.358794,-0.642484,-0.003029,-1.102705,1.151802,-0.685458,0.441794,1.87207,0.443845,-0.185851,class2,cluster1
51,1.041884,2.397104,0.363107,-1.423278,0.673723,0.584687,-1.160754,-1.05851,-1.591699,-2.057133,0.148007,0.773264,0.149265,-0.472121,-0.071272,-0.80423,1.457835,-1.443493,-0.905651,0.285608,-0.189174,1.488461,-2.153831,-0.002567,-1.524307,-1.146323,0.022451,-0.673868,-0.509283,1.029433,-0.049864,-0.194199,0.175352,0.445743,0.628348,class0,cluster2
52,4.548076,2.024841,0.712748,-0.411451,-0.195755,1.3012,0.456148,1.203322,1.057728,0.004831,-0.199693,0.343163,0.834887,-1.603817,0.751407,0.516982,-1.495011,-0.131136,0.286984,-1.005566,1.73811,0.659821,-0.248084,-0.051781,-1.263026,-0.069745,-0.887765,0.16719,-0.69466,-0.573195,-0.285187,0.818341,-0.615142,0.429739,-0.976307,class0,cluster2
53,3.625906,0.717308,1.740381,-0.558192,-1.155043,-0.251847,-0.89258,-0.552231,0.385574,-0.425815,-0.593308,-1.194651,-0.917888,1.237537,-0.937817,1.592689,1.128842,-0.007742,-1.403336,1.466454,1.528874,-0.908178,1.004876,-1.716392,2.025401,-0.820537,0.806703,1.724,1.876617,-0.877106,-2.381582,-1.508757,-0.520041,0.436058,-0.876827,class0,cluster2
54,0.877893,-5.65395,-0.225836,-0.166654,-0.217437,0.339242,1.515184,-1.167441,0.698664,-0.797549,0.488945,0.546022,-0.194442,1.050118,-0.26239,-0.31138,-0.503238,-1.354678,-0.255239,-1.123809,0.836247,1.175828,1.16091,-1.482402,-0.71559,0.744445,-0.476934,-1.935263,0.197808,2.397346,0.585167,0.387982,-0.749753,-1.080287,-0.977758,class1,cluster0
55,4.740943,0.080461,-0.205627,0.761754,0.825481,0.439152,-0.10134,-1.444057,0.518463,0.663537,1.036324,0.375884,-2.171655,-0.338425,-1.505933,-0.267606,0.143353,-0.593699,1.214749,-1.227257,-0.29191,-0.165332,1.236691,1.237782,-0.209405,0.843511,0.796272,-1.096973,-0.70138,0.440136,0.472629,0.265288,0.299642,0.393914,0.020692,class2,cluster1
56,-0.5299,-5.074063,-2.684521,-0.829709,0.592291,-0.239586,2.018795,0.170844,-0.359814,-1.304002,-0.948352,0.810843,1.288379,-0.785239,-1.748391,-1.236738,-0.38253,0.262815,-1.341306,-1.792036,2.407571,-1.628119,-1.220738,0.749347,0.950251,-0.556812,0.628096,-1.849449,0.939699,-0.832939,-0.464877,0.490625,-1.194809,0.09958,1.377713,class1,cluster0
57,1.620223,-5.465693,0.395343,0.24931,0.056134,0.16416,0.847619,-0.84418,-0.281609,0.289748,-1.985853,0.277898,-0.701262,-0.689318,0.063041,-0.341854,0.234871,-0.723922,0.158911,0.557234,-1.820175,-0.27077,0.014359,-0.10126,-0.480521,1.222147,-0.020542,0.583163,-0.994229,1.546836,-0.055024,0.044281,-1.370575,0.103463,0.211999,class1,cluster0
58,-0.033625,-4.199348,-0.697047,-0.823618,-1.112995,1.065973,0.886457,0.953916,-0.077413,-1.658641,1.749031,-0.444586,-1.742894,0.285608,0.843693,0.464382,-0.157656,-0.298015,-0.869167,0.555842,0.472135,-0.154838,0.454979,2.229941,0.202792,1.877312,-0.324517,-0.13992,1.991163,-0.560979,1.073362,0.926574,-0.346836,0.834439,-0.364111,class1,cluster0
59,-1.658156,-3.511365,-0.648329,-0.066561,-1.603015,-0.503719,0.395716,-0.505973,1.886658,0.756671,0.336847,-0.505287,0.993178,-1.018399,0.170372,-0.353081,-0.04466,-0.129013,-0.556988,0.200659,-0.311175,0.443172,-0.190349,-1.27697,0.301756,0.592513,-0.161246,0.515107,0.123836,-0.592191,1.004729,2.223495,-2.907177,-0.004586,-0.05727,class1,cluster0
60,0.234735,-3.905752,0.172263,0.776607,-0.203604,0.017985,0.729626,1.780203,-0.948098,-1.261795,-0.734242,1.406024,0.781045,2.361969,-0.144848,-1.039259,1.373782,0.42986,-0.135686,-0.660002,0.120879,-2.807554,1.584571,1.554202,1.572556,-1.678758,-1.581985,0.066582,-1.178735,1.497519,-0.424973,-0.480448,-0.892798,-0.256036,-0.86145,class1,cluster0
61,7.286747,-2.332135,0.081628,0.062952,-0.762667,-0.796264,-0.401485,1.439204,-1.147198,0.209019,0.745248,-0.255049,-0.197205,-0.480873,-1.242195,0.017335,-0.066171,-0.780568,2.639124,-1.240987,-0.578415,0.259301,0.840374,-0.846401,0.756204,-0.783458,0.67435,0.257635,0.285033,-1.462341,1.42174,1.069742,-1.95925,0.799392,0.289847,class2,cluster1
62,-3.992042,-3.614285,1.041626,-0.181846,-1.356463,-0.285165,0.104461,0.51339,1.255974,-0.486056,-1.089911,0.697967,0.745715,0.205508,-0.875123,-0.139671,-1.044084,0.329883,0.84952,-0.336923,-1.532717,-0.153461,0.330514,0.097711,1.910327,-2.143326,-1.413608,0.988378,0.028726,0.283926,-0.368542,-0.265308,-0.336967,0.572289,-0.146657,class1,cluster0
