@relation 'AT: vowel-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R28-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute '0.468Sex-0.365Feature 7+0.289Feature 9+0.285Feature 4-0.263Feature 8...' numeric
@attribute '0.446Feature 6-0.408Feature 3-0.367Feature 2-0.326Feature 9-0.276Feature 8...' numeric
@attribute '-0.385Train or Test+0.358Feature 1-0.346Feature 5-0.305Feature 3-0.295Feature 4...' numeric
@attribute '0.52 Train or Test+0.352Feature 1+0.262Feature 8-0.222Speaker Number=Kate+0.221Speaker Number=Mike...' numeric
@attribute '0.366Speaker Number=Andrew-0.288Feature 4+0.287Speaker Number=David-0.285Feature 2+0.285Feature 1...' numeric
@attribute '-0.468Feature 0-0.346Speaker Number=David-0.312Speaker Number=Sarah-0.286Feature 9+0.283Speaker Number=Andrew...' numeric
@attribute '0.62 Speaker Number=Bill-0.311Feature 7-0.302Speaker Number=Jo-0.287Speaker Number=Rich-0.224Speaker Number=David...' numeric
@attribute '-0.546Speaker Number=Kate+0.421Speaker Number=Rose-0.375Speaker Number=Sarah+0.278Speaker Number=Penny-0.234Feature 8...' numeric
@attribute '-0.516Speaker Number=Andrew+0.439Speaker Number=David+0.325Speaker Number=Tim-0.286Speaker Number=Sarah+0.275Speaker Number=Sue...' numeric
@attribute '0.525Speaker Number=Nick-0.418Speaker Number=Wendy+0.357Speaker Number=Jo+0.305Speaker Number=Sue-0.268Speaker Number=Rich...' numeric
@attribute '-0.576Speaker Number=Mark+0.46 Speaker Number=Bill+0.302Speaker Number=Wendy+0.269Speaker Number=Mike-0.244Speaker Number=Tim...' numeric
@attribute '0.566Speaker Number=Mike+0.429Speaker Number=Kate-0.326Speaker Number=Rich+0.306Speaker Number=Nick-0.275Speaker Number=Jo...' numeric
@attribute '-0.435Speaker Number=Tim-0.372Speaker Number=Sarah+0.326Speaker Number=Rich+0.301Speaker Number=Mark-0.285Speaker Number=Rose...' numeric
@attribute '0.51 Speaker Number=Penny-0.399Speaker Number=Wendy-0.392Speaker Number=Nick-0.366Speaker Number=Jo-0.261Speaker Number=Mark...' numeric
@attribute '0.524Speaker Number=Tim+0.407Speaker Number=Wendy-0.345Speaker Number=Rich-0.323Speaker Number=Rose+0.306Speaker Number=Penny...' numeric
@attribute '-0.412Speaker Number=Sue+0.379Speaker Number=Sarah-0.371Speaker Number=Mike-0.288Speaker Number=Jo+0.276Speaker Number=Bill...' numeric
@attribute '-0.455Feature 5+0.419Feature 0-0.347Feature 7+0.312Speaker Number=Rich-0.286Speaker Number=Sue...' numeric
@attribute '0.655Feature 6-0.332Feature 7+0.267Feature 5+0.266Feature 9-0.244Feature 0...' numeric
@attribute '-0.457Feature 8-0.441Feature 4+0.367Feature 9+0.338Feature 7-0.26Speaker Number=David...' numeric
@attribute Class {hid,hId,hEd,hAd,hYd,had,hOd,hod,hUd,hud,hed}

@data
-2.608258,-0.49793,-0.351073,-1.188365,2.028647,1.352905,-0.078105,-0.100972,-2.398096,-0.102595,-0.286597,-0.805264,-0.563407,0.813606,0.659777,-0.648563,0.318218,-1.040413,-0.049324,hed
-1.706047,-0.899934,-1.634939,-2.069964,1.680848,2.42382,-0.209128,0.344104,-2.33291,-0.141465,-0.105495,-0.783061,-0.563407,0.813606,0.245405,-0.081301,-0.393594,-0.139997,0.172476,hid
-2.084642,-0.524237,-1.528138,-2.094098,1.700847,1.70063,0.162274,0.290732,-2.347161,-0.263202,-0.088381,-0.735514,-0.563407,0.813606,0.182035,-0.547223,-0.213112,0.019158,0.412366,hId
-2.134873,-0.027395,-1.373007,-2.065016,1.843812,0.382986,0.516252,0.271564,-2.465817,-0.116642,-0.303652,-0.748857,-0.563407,0.813606,0.2667,-1.128717,0.661287,-1.381859,0.685607,hEd
-2.369182,-0.552522,-0.569908,-1.278042,2.044601,1.087837,0.343717,-0.569231,-2.146928,0.082496,-0.364452,-0.808929,-0.563407,0.813606,0.711152,-0.839931,1.453382,-0.83056,-0.589179,hAd
-2.405062,-0.364342,0.027455,-0.912027,2.193031,1.144792,0.430429,-0.696996,-2.138118,0.11321,-0.205781,-0.777362,-0.563407,0.813606,0.82647,-0.92897,1.230092,0.204699,-0.252552,hYd
-1.917555,-0.205922,0.520322,-0.662513,2.032923,1.157281,0.821733,-0.908306,-1.937467,0.221997,-0.103251,-0.715479,-0.563407,0.813606,0.872259,-1.085266,1.633267,1.374998,-0.237162,had
-1.723354,-0.823891,1.497911,-0.036631,2.123416,1.283806,0.308286,-0.671741,-1.670626,0.227299,-0.057101,-0.687866,-0.563407,0.813606,1.075175,-0.837048,1.436288,1.598265,0.346069,hOd
-2.26766,-2.234609,1.355237,0.32153,2.552722,1.791378,-0.560721,-0.405679,-2.159397,0.112391,-0.109444,-0.797146,-0.563407,0.813606,1.22547,-0.165625,0.456589,0.337407,0.742447,hod
-2.415035,-0.407374,-0.228032,-0.960915,2.273716,1.597982,0.152285,0.064711,-2.412701,-0.323039,-0.16575,-0.765996,-0.563407,0.813606,0.567703,-0.648504,-0.242094,-0.1681,-0.06831,hUd
-1.803486,-0.611071,-1.231219,-1.492033,2.266226,2.131624,0.009093,0.262481,-2.229268,-0.336702,-0.221399,-0.848061,-0.563407,0.813606,0.388996,-0.248074,-0.256779,-0.572671,-0.666952,hud
-2.586038,-0.528037,-0.447717,-1.261442,2.060696,1.228091,-0.081302,-0.015759,-2.44846,-0.100934,-0.269497,-0.8039,-0.563407,0.813606,0.629092,-0.67274,0.243772,-1.098237,0.217731,hed
-1.790051,-0.822279,-1.591371,-2.067865,1.658024,2.388175,-0.150751,0.279294,-2.287141,-0.158191,-0.1037,-0.771439,-0.563407,0.813606,0.244092,-0.144052,-0.311801,-0.013017,0.080547,hid
-2.24503,-0.52239,-1.485063,-2.065411,1.72207,1.520184,0.252529,0.260365,-2.356504,-0.314536,-0.090111,-0.717817,-0.563407,0.813606,0.170168,-0.661351,-0.159046,0.060204,0.457156,hId
-2.132937,-0.014112,-1.402927,-2.111232,1.86676,0.400272,0.4725,0.255066,-2.373629,-0.102813,-0.30635,-0.749109,-0.563407,0.813606,0.271256,-1.116638,0.741231,-1.340405,0.641436,hEd
-2.303021,-0.440304,-0.738586,-1.37051,2.090045,1.059401,0.38399,-0.490539,-2.184282,0.055718,-0.372219,-0.820241,-0.563407,0.813606,0.663555,-0.850028,1.366858,-0.964698,-0.612792,hAd
-2.218141,-0.464033,-0.249931,-1.036909,2.162554,1.236651,0.376203,-0.500698,-2.216547,0.064961,-0.233731,-0.798653,-0.563407,0.813606,0.74515,-0.811148,1.028403,-0.162524,-0.262034,hYd
-1.490283,-0.023201,0.615038,-0.658156,1.966587,1.060972,0.949093,-0.790379,-1.791273,0.240079,-0.104471,-0.700769,-0.563407,0.813606,0.836386,-1.143984,1.779497,1.491052,-0.221668,had
-1.981984,-0.895445,1.324432,-0.108516,2.175013,1.329405,0.27803,-0.712631,-1.769526,0.184121,-0.061285,-0.692405,-0.563407,0.813606,1.054673,-0.821692,1.321147,1.50875,0.29992,hOd
-1.386597,-2.125748,1.60497,0.4551,2.1857,1.830739,0.048995,-0.69407,-1.700486,0.1944,-0.088891,-0.752439,-0.563407,0.813606,1.198895,-0.312588,1.39019,1.418891,0.077104,hod
-2.555739,-0.569866,-0.238902,-1.00153,2.171853,1.567129,0.048425,0.079115,-2.394964,-0.343959,-0.184231,-0.761389,-0.563407,0.813606,0.560838,-0.623099,-0.218833,-0.326082,-0.017608,hUd
-1.90959,-0.380835,-1.073905,-1.435952,2.141234,2.234165,0.22007,-0.07265,-2.008505,-0.330357,-0.247791,-0.825911,-0.563407,0.813606,0.426191,-0.36547,0.214751,-0.131215,-1.349412,hud
-2.591386,-0.432757,-0.526258,-1.346792,2.110183,0.971861,0.007885,0.041734,-2.449436,-0.114285,-0.261869,-0.792344,-0.563407,0.813606,0.588332,-0.796359,0.286999,-1.11639,0.432438,hed
-1.868563,-0.629235,-1.545992,-2.089834,1.604284,2.401457,-0.073446,0.185377,-2.23237,-0.162614,-0.099632,-0.760082,-0.563407,0.813606,0.241944,-0.215272,-0.222657,0.167032,-0.098173,hid
-2.233092,-0.422539,-1.442169,-2.057549,1.762428,1.386299,0.319363,0.284192,-2.351853,-0.318829,-0.091984,-0.705345,-0.563407,0.813606,0.162717,-0.745138,-0.120932,0.071189,0.53822,hId
-2.053923,-0.154849,-1.418527,-2.095295,1.881952,0.490862,0.431673,0.319567,-2.389102,-0.111364,-0.299053,-0.740111,-0.563407,0.813606,0.257227,-1.049996,0.654752,-1.306474,0.725601,hEd
-2.262442,-0.428773,-0.853038,-1.464444,2.172137,0.999921,0.299266,-0.360284,-2.196598,0.060773,-0.37678,-0.822194,-0.563407,0.813606,0.637569,-0.831567,1.267352,-1.146154,-0.408948,hAd
-1.858461,-0.457179,-0.372857,-1.090399,2.052924,1.384326,0.540278,-0.463986,-2.152169,0.04717,-0.227729,-0.789012,-0.563407,0.813606,0.670593,-0.774933,1.095895,0.061405,-0.469203,hYd
-1.30603,0.105108,0.563795,-0.68913,1.971601,1.018887,1.008603,-0.670789,-1.792488,0.212298,-0.110873,-0.7041,-0.563407,0.813606,0.791952,-1.16142,1.708917,1.402625,-0.221566,had
-2.269417,-0.75577,1.190263,-0.200285,2.247133,1.261897,0.287612,-0.715037,-1.884497,0.133941,-0.068588,-0.690409,-0.563407,0.813606,1.024228,-0.891096,1.173761,1.36662,0.306456,hOd
-2.248856,-1.739301,1.632601,0.415137,2.536159,1.843222,-0.367594,-0.504774,-2.122797,0.122131,-0.067927,-0.763502,-0.563407,0.813606,1.241254,-0.315336,0.452768,0.846104,0.579952,hod
-2.519354,-0.665289,-0.296307,-1.065763,2.190181,1.377829,0.089783,0.138696,-2.354069,-0.348854,-0.183181,-0.737791,-0.563407,0.813606,0.524151,-0.690859,-0.115365,-0.307422,0.21789,hUd
-2.13536,-0.201387,-1.025376,-1.467729,2.148466,2.269679,0.124802,-0.105629,-1.993091,-0.335107,-0.271347,-0.823825,-0.563407,0.813606,0.447945,-0.384917,0.182239,-0.255736,-1.470907,hud
-2.702947,-0.540171,-0.343137,-1.24555,2.066477,0.889486,0.017044,-0.084956,-2.390454,-0.083629,-0.277908,-0.778397,-0.563407,0.813606,0.645573,-0.845625,0.521457,-1.055208,0.40271,hed
-1.888199,-0.561468,-1.603499,-2.159535,1.600192,2.453693,-0.100245,0.178547,-2.201607,-0.152582,-0.101468,-0.757327,-0.563407,0.813606,0.231573,-0.206263,-0.21564,0.186399,-0.145902,hid
-2.051266,-0.353161,-1.480933,-2.061726,1.814759,1.451447,0.341322,0.344325,-2.397639,-0.288974,-0.080252,-0.711378,-0.563407,0.813606,0.154863,-0.711742,-0.211162,0.087317,0.593381,hId
-2.041757,-0.209374,-1.423578,-2.097748,1.850509,0.520274,0.400711,0.37063,-2.405675,-0.134188,-0.284887,-0.739697,-0.563407,0.813606,0.240821,-1.019327,0.553539,-1.290382,0.796024,hEd
-2.160035,-0.565037,-0.817397,-1.458866,2.091102,1.073859,0.228751,-0.323089,-2.153668,0.077206,-0.365438,-0.819729,-0.563407,0.813606,0.638158,-0.760259,1.263313,-1.094107,-0.332389,hAd
-1.712848,-0.465367,-0.588592,-1.195848,2.09043,1.561565,0.439172,-0.264315,-2.244165,0.013996,-0.232837,-0.802717,-0.563407,0.813606,0.606866,-0.643761,0.77926,-0.17498,-0.418876,hYd
-1.587795,-0.092579,0.402008,-0.656299,2.128129,1.101636,0.94756,-0.706291,-1.974616,0.154862,-0.127797,-0.727518,-0.563407,0.813606,0.802737,-1.091523,1.50417,1.161235,-0.29567,had
-2.30191,-0.408922,1.040906,-0.304953,2.273925,1.241111,0.41043,-0.668686,-1.957651,0.076716,-0.087363,-0.692403,-0.563407,0.813606,0.960098,-0.974637,1.051722,1.243571,0.115399,hOd
-2.269203,-1.476832,1.780047,0.4131,2.482436,1.771107,-0.306684,-0.509192,-2.093,0.131337,-0.04413,-0.740311,-0.563407,0.813606,1.237965,-0.42016,0.450912,1.043573,0.651127,hod
-2.356309,-0.59477,-0.635517,-1.368692,2.26114,1.267589,-0.010991,0.446328,-2.404644,-0.349171,-0.135597,-0.730543,-0.563407,0.813606,0.406875,-0.670986,-0.429673,-0.406959,0.800907,hUd
-2.150675,-0.254815,-1.121078,-1.513347,2.289198,2.33029,-0.195786,0.201128,-2.206544,-0.33204,-0.283654,-0.852419,-0.563407,0.813606,0.445841,-0.224352,-0.339077,-0.873802,-1.042724,hud
-2.692984,-0.580392,-0.350114,-1.241935,2.021828,1.053368,-0.052164,-0.116569,-2.387654,-0.063046,-0.291494,-0.78823,-0.563407,0.813606,0.663426,-0.762189,0.515316,-1.1083,0.254761,hed
-0.212224,0.472685,-0.12028,-1.548159,-1.808009,1.85823,2.75784,0.406918,-0.037563,0.143767,2.098543,-0.419507,0.297796,0.261518,-1.14154,1.581186,-1.833987,0.542003,-0.031828,hid
-2.627619,0.245364,0.635193,-1.27607,-1.472575,-0.907738,3.335618,-0.608196,0.218167,0.094014,1.884246,-0.2797,0.297796,0.261518,-0.861078,0.136593,0.394455,0.010185,0.573798,hId
-1.530587,0.327167,0.282959,-1.371699,-1.508806,-0.425916,3.139899,-0.217083,0.092328,0.268576,1.745377,-0.38458,0.297796,0.261518,-0.875588,0.563671,0.233112,-1.169094,0.213959,hEd
-1.3937,0.280291,0.632742,-0.942927,-0.82225,-0.352332,2.931057,-0.487117,0.412251,0.467712,1.590005,-0.448141,0.297796,0.261518,-0.56267,0.677099,0.912851,-1.624908,-0.44246,hAd
-1.505388,-0.787313,2.075927,0.401546,-0.710365,0.12093,2.68952,-0.758083,0.006451,0.51233,1.777788,-0.496788,0.297796,0.261518,-0.133712,1.036246,0.268433,-0.804654,0.045921,hYd
-0.754945,-1.485429,1.606986,0.163192,-1.5591,0.16341,3.235676,-0.871316,0.213318,0.436462,1.73422,-0.472152,0.297796,0.261518,-0.37356,1.073399,1.056798,-0.498565,-0.561998,had
-1.206012,0.303266,2.514434,0.5928,-0.608555,-0.018575,2.807931,-0.486139,0.368115,0.319748,1.617225,-0.504602,0.297796,0.261518,-0.150982,0.832712,0.32617,-1.39432,-0.929867,hOd
-0.557454,-0.442725,3.191366,1.100545,-0.368668,-0.009377,2.631152,-0.054282,0.014604,0.468373,1.971827,-0.451029,0.297796,0.261518,-0.063384,1.031617,-0.662752,-0.087046,1.281536,hod
-0.570253,-1.276395,2.304353,0.971927,0.012302,0.53618,2.932244,-0.33249,0.070585,0.28132,1.98695,-0.453153,0.297796,0.261518,-0.204086,1.257278,-0.514175,0.612473,0.481733,hUd
-0.46568,-0.831724,1.368315,0.243117,-0.023275,0.919029,2.980847,0.028093,-0.019138,0.127157,2.07169,-0.415533,0.297796,0.261518,-0.548572,1.328061,-1.217763,0.920759,0.568078,hud
-0.862148,-0.417101,1.108382,-0.315939,-1.11933,0.505549,3.114171,-0.352018,-0.1186,0.324996,1.888562,-0.439734,0.297796,0.261518,-0.593092,1.066319,-0.316651,-0.185197,0.038858,hed
-0.047511,0.183736,0.030138,-1.442503,-1.856184,2.034829,2.587157,0.439586,0.015017,0.199472,2.132075,-0.425025,0.297796,0.261518,-1.089701,1.743057,-1.884279,0.684093,0.145711,hid
-2.512275,0.543611,0.409632,-1.441685,-1.41305,-0.615189,3.241228,-0.448461,0.137193,0.08194,1.901506,-0.296693,0.297796,0.261518,-0.92318,0.252156,-0.005745,-0.065773,0.503669,hId
-1.697688,0.368664,0.31594,-1.383658,-1.502438,-0.494002,3.080026,-0.229813,0.073987,0.266628,1.746179,-0.386963,0.297796,0.261518,-0.858815,0.534968,0.198105,-1.246215,0.286601,hEd
-1.421437,0.154301,0.69932,-0.867171,-0.947428,-0.382428,2.988144,-0.461115,0.287226,0.42133,1.608449,-0.444822,0.297796,0.261518,-0.581587,0.67063,0.780664,-1.620057,-0.33848,hAd
-1.641967,-0.364692,1.987183,0.292991,-0.560771,0.061317,2.615276,-0.616554,-0.076507,0.475382,1.772379,-0.512311,0.297796,0.261518,-0.159933,0.984508,-0.04234,-1.08519,0.103419,hYd
-0.72503,-1.214861,1.839108,0.227374,-1.675175,0.163688,3.19842,-0.787192,0.207709,0.423792,1.737528,-0.47001,0.297796,0.261518,-0.363234,1.04359,0.907977,-0.559284,-0.554349,had
-1.510559,-0.669519,2.452626,0.864727,-0.39707,0.241878,2.699966,-0.766189,0.171819,0.34513,1.615726,-0.525496,0.297796,0.261518,-0.029482,1.065982,0.386878,-1.340813,-0.952798,hOd
-0.742391,0.09804,3.222461,0.999583,-0.338934,-0.084447,2.642397,-0.013083,-0.002272,0.436423,1.997304,-0.44831,0.297796,0.261518,-0.087345,0.9034,-0.872851,-0.042573,1.287549,hod
-0.462118,-0.915828,2.431115,0.940727,-0.1319,0.53494,2.868526,-0.179414,0.023004,0.297423,1.963273,-0.457516,0.297796,0.261518,-0.216112,1.24188,-0.683529,0.30687,0.504361,hUd
-0.764972,-0.837934,1.454432,0.406041,0.114711,1.319123,2.879139,-0.2405,-0.133145,0.175998,2.07353,-0.44742,0.297796,0.261518,-0.426161,1.46073,-1.3212,1.029021,0.157155,hud
-0.72685,-0.340678,1.121194,-0.46481,-1.140297,0.360229,3.150989,-0.305264,-0.075309,0.425008,2.013263,-0.39596,0.297796,0.261518,-0.626602,0.975485,-0.347659,0.461719,0.741964,hed
0.227815,-0.053334,0.008434,-1.312518,-1.655455,2.238961,2.609379,0.368063,0.002192,0.285359,2.157362,-0.442051,0.297796,0.261518,-1.029759,1.874629,-1.832178,0.925179,0.136397,hid
-2.405677,0.63648,0.201087,-1.558728,-1.414824,-0.352677,3.159583,-0.33231,0.06546,0.061017,1.908264,-0.316721,0.297796,0.261518,-0.975481,0.384712,-0.300661,-0.170939,0.403519,hId
-1.632209,0.3617,0.183949,-1.429002,-1.372127,-0.298331,3.071089,-0.18158,0.008196,0.269106,1.779597,-0.376691,0.297796,0.261518,-0.888073,0.606238,-0.006788,-1.052618,0.36076,hEd
-1.485019,0.234927,0.747395,-0.836386,-0.981834,-0.383977,3.088222,-0.55323,0.261094,0.418423,1.623292,-0.438597,0.297796,0.261518,-0.576331,0.613739,0.815871,-1.447469,-0.422568,hAd
-1.626175,-0.236172,1.933094,0.243111,-0.471793,0.052001,2.549155,-0.547044,-0.058828,0.480494,1.748455,-0.521714,0.297796,0.261518,-0.161057,0.993768,-0.086155,-1.286535,0.083108,hYd
-0.746291,-1.369609,1.752554,0.15291,-1.437442,0.187342,3.217386,-0.870531,0.229333,0.523578,1.821488,-0.420983,0.297796,0.261518,-0.353929,1.020673,0.968134,0.075356,-0.092465,had
-1.666586,-0.650239,2.384116,0.822729,-0.30204,0.168112,2.723737,-0.765495,0.01627,0.35042,1.690875,-0.52123,0.297796,0.261518,-0.041302,1.01855,0.148628,-1.112257,-0.571975,hOd
-0.917585,0.642296,3.211872,0.837616,-0.292759,-0.14345,2.65654,-0.022119,0.078044,0.430159,2.031847,-0.43471,0.297796,0.261518,-0.113573,0.765647,-0.955943,0.176652,1.275356,hod
-0.365501,-1.087752,2.478905,0.932693,-0.099884,0.588864,2.743763,-0.180097,0.013176,0.422751,1.996586,-0.446405,0.297796,0.261518,-0.168884,1.315574,-0.655407,0.439044,0.875691,hUd
-0.767513,-0.892536,1.448762,0.420126,0.21796,1.310301,2.793536,-0.187762,-0.202581,0.209403,2.085649,-0.455268,0.297796,0.261518,-0.402788,1.499285,-1.438982,0.943154,0.376681,hud
-0.825526,0.244689,0.968598,-0.61489,-1.058398,0.254876,3.279258,-0.271904,-0.135138,0.380683,2.000128,-0.408252,0.297796,0.261518,-0.680944,0.827247,-0.479386,0.315899,0.548346,hed
0.590565,-0.509514,-0.079076,-1.313994,-1.644621,2.228272,2.464628,0.493832,-0.036531,0.410575,2.137032,-0.457745,0.297796,0.261518,-1.002642,2.03863,-1.734166,0.612468,0.528198,hid
-2.339801,0.512492,0.080181,-1.614466,-1.373257,-0.329265,3.100504,-0.246916,0.023617,0.066515,1.914306,-0.320151,0.297796,0.261518,-0.998422,0.445379,-0.397479,-0.255472,0.566248,hId
